title,review,rating,status,position,location,date_posted,year,month,day
already done this,already reviewed walmart. the hours were awful and unstable,3,Former Employee,Cashier ,"Newport, TN",8/21/14,2014,8,21
it was interesting place to work,"work day began around 11 pm, after clocking in, straight to the work floor to begin stocking the shelves with consumer merchandise. During my time there i learned how to provide better customer service and be a more effective stocker  by getting merchandise on the the floor fast to generate more sales, as well as work as a team with fellow co-workers. The hardest part of my job was working with team member not as motivated as myself but i really enjoyed face to face interactions with co-workers and customers.",2,Former Employee,Overnight stocker ,"Canton, MI",8/21/14,2014,8,21
Very easy job,"Walmart was my first job and it was somewhat of a roller coaster for me. I gained customer service and people skills, made lots of good friends, it was a nice, easy job. It was hard for me because at the time I was going to school full time, so I would be on my feet for 13-16 hours a day. The most enjoyable thing about working at Walmart was that it was convenient!",4,Former Employee,Cashier ,"Tempe, AZ",8/21/14,2014,8,21
Good Costumers with an easy going working atmosphere.,A typical day at Wal-Mart is clocking in and finding your immediate supervisor. If no notes need to be completed there is a routine for each department. It lists the day to day activities that become your normal things to do every day. Eventhough the department I work in is lightly staffed right now we all get along well and do a good job. the hardest part of my job is when the upper management can not make up their minds about something and have you work on the same thing for more then one day. the most enjoyable part of the job is meeting the different customers that come thru the doors.,3,Current Employee,Associate ,"Baton Rouge, LA",8/21/14,2014,8,21
Culture,As a professional at Walmart you seemed lost in circus atmosphere of the store itself.  Not a favorable professional environment.,3,Former Employee,Pharmacy Manager ,"Cincinnati, OH",8/21/14,2014,8,21
Fun,"Helping customers out on a daily basis, helping out with customer demand.",4,Current Employee,Sales Associate ,Delmont Pa,8/21/14,2014,8,21
Wal-mart,"	Operations and staff development decisions_x000D_	Demonstrate the highest ethical standards and a passion for excellent customer service_x000D_	Request areas specific merchandising_x000D_	Budgeting/forecasting and assessing economic trends, identifying issues, analyze data, propose solutions,  and report to executive management_x000D_	Present sales strategies that ensure the success of the department while creating opportunities for growth_x000D_	Recruit, develop and implement training initiatives including training materials/manuals, providing education, direction and development for Walmart staff_x000D_	Coordinate with department and cross-departmental leadership team to identify training needs and performance improvement opportunities_x000D_	The hardest part of the job would be balancing your daily duties while enhancing the customer experience.",4,Current Employee,Assistant Manager ,"Ruston, LA",8/21/14,2014,8,21
walmart,did not like job too mch for too little very unorganized_x000D_standing on feet to much always asking for help from cashier in service desk no compensation and money center _x000D_when rushes come breaks get skipped_x000D_had to quit too much work,4,Former Employee,cashier ,"marietta,ga",8/21/14,2014,8,21
Over All Loved This Job,"Best job I've had yet. Everyone got along, management very understanding and very professional.",5,Current Employee,Cashier ,"Vero Beach, FL",8/21/14,2014,8,21
Great work environment,I feel Wal-Mart provides a great work environment for there employees. The hardest part was working overnight shifts and that's not even that hard.,5,Former Employee,Overnight Dry Grocery Stocker ,"South Ogden, UT",8/21/14,2014,8,21
Walmart Family,Walmart was a fairly good company. I have learned a lot from working with the many stores I have. I have made some life long friends. I have had the opportunity to work at super center walmarts and a neighborhood walmart. The neighborhood walmart was probably the best. I had a chance to meet everyone one on one. Got really close with my managers who were able to help me schedule work time around school time. They understood that school came before work. I am the type of person who will do everything I can for the company but  I will also do what I can to achieve my life long goals. I would love to be apart of another company and put myself to work.,3,Former Employee,Pharmacy Cashier ,"Brenham, TX",8/21/14,2014,8,21
Energectic and Productive,Great place to work. Able to learn how to properly deal with all sorts of customers and being able to meet the customers needs regardless of right and wrong. Great people to work with and great first job experience.,5,Current Employee,Inventory Management Specialist ,"Cleburne, TX",8/21/14,2014,8,21
was not impressed,"at the time i was just starting my hard class in college and got in to my 6 credit hour classes i told the hiring agent that i can only work these days and these hours we came to an agreement, this failed through when my zmf or what ever my bosses boss was and i explained i can't work the hours due to my non flexibility and i wouldnt give up my education to work at wal-mart that be so stupid so they said why don't you just quit (because clearly they were not going to respect what we agreed upon) so i quit because i'm not going to end up with a dead in job still not making enough to even scrape by. i loved my job and enjoyed it immensely i just wish i could have had my hours respected instead of working hours that i could not work.",1,Former Employee,Seasonal stocker ,port angeles,8/21/14,2014,8,21
Fun and Friendly Employment environment,Slice meats and cheeses for customer.. wash rinse and sanitize all food contact surfaces. i learned stronger customer service skills. the management are really friendly and understanding. the co-workers are up beat and friendly . the hardest part of the job was cleaning the rotisserie and washing rinsing and sanitizing all necessary equipment on the hot side. the most enjoyable part of the job was watching customers walking away with a smile on their faces,3,Former Employee,Sales Associate ,"Rome, NY",8/21/14,2014,8,21
Its a decent job,I have loved my job. But it seems that the company has gotten so big that they really don't care for their employee's like they use to.,3,Current Employee,Overnight Stocker ,"Decatur, AL",8/21/14,2014,8,21
scanner and verifier,"A typical day at work was getting on the line and sorting through boxes and placing the merchandise in the proper disposing area. I learned how to do a good job very quickly. Management and my co-workers were very professional and helpful. The hardest part of my job was the heat in the warehouse was at times unbearable. The most enjoyable part of my job was the hours, four 10 hour shifts Mon-Thurs.",1,Former Employee,CUSTOMER SERVICE ,"Woodway, TX",8/21/14,2014,8,21
"Nice environment, variety of job tasks.","At the workplace safety is a top one priority, as also cleanliness and customer satisfaction. Everyone provides teamwork and remains open to new ideas and suggestions. The hardest part of the job is not being able to provide the customer with their desired product; whether we don't carry the item or it's out of stock. Nevertheless each day brings excitement and new adventures.",4,Current Employee,Sales Associate in Dairy ,"Plaquemine, LA",8/21/14,2014,8,21
