title,review,rating,status,position,location,date_posted,year,month,day
The people you meet there as co-workers become life long friends.,They have a very different way of treating their employees. You definitely stay for the people you get to work with and the customers you meet.,2,Current Employee,Inventory Specialist ,"Peoria, AZ",1/26/16,2016,1,26
It's Walmart,"You win some- you lose some. For $9.15/hr as an overnight stocker in the freezer section it's not the best, but I didn't mind the steady work pace.",3,Former Employee,Walmart Overnight Stocker ,"Tucson, AZ",1/26/16,2016,1,26
False Orientation,"supposed to work as a team, not! Not enough people on schedule on busy days, meaning not enough associates to help out customers.",2,Former Employee,Walmart Stocker ,"La Porte, IN",1/26/16,2016,1,26
enjoyede my time there,This was a seasonal position. the hours were long and the pay was low through Manpower. Walmart.com was a nice friendly place to work. I would accept a position there if offered.,5,Former Employee,"reciever, picker, loader ","Bethlehem, PA",1/26/16,2016,1,26
Meet and worked with a lot of wonderful people,My co-workers were very pleasant to work with and very helpful to one another. We worked very well together as a team and communicated quite well with one another. The hardest part of the job was always being short staffed to a brand new store that just opened. But with hard work and a game plan for working 2 departments with 3 people we always found a solution.,4,Current Employee,Deli Associate ,"Palm Harbor, FL",1/26/16,2016,1,26
"fun,  productive and good work enviorment","Wal-Mart was productive, good benefits and a fun place to work. I would inter act with many different people and met many resources. I've also learned and experienced many new things while working at Wal-Mart",4,Former Employee,Stock Person ,"Philadelphia, PA",1/26/16,2016,1,26
People were fun to work with.,"unloaded trucks all day and moved merchandise to the sales floor at night.We had a team of people unloading trucks, usually did about 2-3 trucks a day.",3,Former Employee,recieiving ,"Philadelphia, PA",1/26/16,2016,1,26
enjoyed working there with team members,*starting the day early to work on picks_x000D_*to work with team _x000D_*management was more worried about themselves_x000D_*co workers were great_x000D_*going into the freezer _x000D_*working morning to afternoon,4,Former Employee,Inventory Control Specialist ,"Longview, TX",1/26/16,2016,1,26
what you learned,walmart is a great company to stick with from years and to move uo and advance in as an empolyee start as overnight stocker or cashier work your way up to backroom or floor management.,4,Former Employee,Overnight Stocker ,"Orlando, FL",1/26/16,2016,1,26
Managers and employees come and go,"Good place to work out of high school but for a long term career, not so much. Every few months we get a new manager overnight. I was thinking about moving up with a company but the managers are telling me its a bad idea. I cant say to much about my co- workers because so many have come and gone. The hardest part of my job is having to pick up my speed when other co workers are slacking so I can help them out. I'm a hard worker so I'm usually done early. The most enjoyable part of my job is unloading the truck and helping out customers.",2,Former Employee,OVER NIGHT STOCKER ,"Watson, LA",1/26/16,2016,1,26
