title,review,rating,status,position,location,date_posted,year,month,day
Good job to have when you’re trying to get on your feet.,Walmart is not an easy company to start working in. It is a good company to start working in when you are trying to get on your feet. It is very stable.,3,Former Employee,"Sales Associate, Phone Operator, Personal ","Austin, TX",1/11/20,2020,1,11
Overall wonderful working experience,"Every day was a enjople, shaking hands of vetrans learning something new every day the full experience I learned a lot that will carry on with my full andworking life.",5,Former Employee,Cashier/ service desk representative ,"Rogers, AR",1/11/20,2020,1,11
Really easy money,I like working here for the great environment. I love puting smiles on people's faces. I go into work with a smile on my face and I leave work the same way.,5,Current Employee,Stocker ,"Paducah, KY",1/11/20,2020,1,11
Great,They work really hard to ensure that their employees have a work schedule that works for them and makes them happy they also have a variety of ways to ensure that employees can get their shifts fixed or changed to fit their schedule,4,Former Employee,Wal-Mart Cashier ,"Goose Creek, SC",1/11/20,2020,1,11
Very productive and fast pace!,"From my perspective, Walmart is a good hardworking job that makes you  a better person at the end of the day. I enjoy being apart of my department known as ""Cap Team 2"" because we provide everything the customers need.",5,Current Employee,CAP 2 Associate ,"Balch Springs, TX",1/11/20,2020,1,11
Good job with good benefits,"Walmart doesn't have set schedules for employees, but the manager's are willing to work with you and accommodate any needs you may have. The pay is very competitive.",5,Former Employee,Maintenance Associate ,"Cicero, IL",1/10/20,2020,1,10
Loved it,"I love the job, the rules I was doing, loved my coworkers, leaders, and supervisors, love the team work and customers were happy and satisfied about my service, I was very efficient and friendly to everyone.",4,Former Employee,Department Manager ,"Westminster, CO",1/10/20,2020,1,10
The pay starts out at a good rate,You get good hours for the most part with a good pay which increases after 10 months. After the holidays expect your hours to take a major cut getting lucky to work two to three days,3,Former Employee,Cashier ,"Mount Airy, NC",1/10/20,2020,1,10
N/a,Walmart Is a great company and they lead in customer service. They’re a world wide company and they give back to the community! The management is great!,3,Former Employee,E-Commerce Associate ,"Rogers, AR",1/10/20,2020,1,10
The luck in the store.,Love a lot of the people that worked for me and the community. At times I felt that some managers dictates the mood in the store. It was easy to leave for my own sanity. If you find the right store you will love your job.,4,Former Employee,Assistant Manager of Fresh Operations ,"Fountain, CO",1/10/20,2020,1,10
All the workers are nice and are great help,My team would unload the truck at 2pm everyday and sort the items then go stock the items and help costumers. Whenever someone finish there aisle they would go help someone else finish their aisle.,5,Former Employee,Walmart Stocker ,"Olathe, KS",1/10/20,2020,1,10
Not to bad,"To much changes at the last moment, it is a difficult workplace when you have no one to trust, the people in charge do not know how to solve problems, I have more bosses than coworkers.",1,Current Employee,Stocking and Customer Service Associate ,"Colorado Springs, CO",1/10/20,2020,1,10
Beware of Raggard Rd! #3610,Poorest management in Wal-Mart. Employees are treated less fair then customers in every situation. No need to say much more. There's a reason that location is the lowest rated store in the district!,1,Former Employee,Automotive Tech/Service Writer ,"Louisville, KY",1/10/20,2020,1,10
Fun workplace,Walmart company is a nice environment to work. _x000D_I can learn from every customer about how can I help them get a better experience at the store. Learn from different cultures.,5,Former Employee,Cashier and Customer Service ,"Vernon Hills, IL",1/10/20,2020,1,10
productive and fun place to work there.,"A typical day at work was actually depending on the day. It would be busy if it's weekend or the first day of the week. I learned a lot. how to do scanner operations, cash management, staff mentoring, multitasking, and a lot more other things.",5,Former Employee,Cashier ,"Carpentersville, IL",1/10/20,2020,1,10
Don't request time off until you've put in some serious time,It was fine management just needed some tweaking. There were issues involving scheduling on a regular basis. Over staffed when it wasn't necessary understaffed when we were ridiculously busy.,4,Former Employee,Store Associate ,"Valley, AL",1/10/20,2020,1,10
I really like the management,I learned a lot at my time at Walmart and everyone was very willing to teach. They were very willing to work with me as a student and was always considerate of my learning.,5,Current Employee,Pharmacy Student Intern ,"Grimes, IA",1/10/20,2020,1,10
Walmart,"Long hours, pay could have been better, holidays chaotic, management some good some not so good._x000D_Breaks too short, very small break room _x000D_closing department by yourself often",3,Former Employee,Deli Associate ,"Hot Springs, AR",1/10/20,2020,1,10
Walmart,I loved working here. I met some amazing people.  Not only was it other cashiers but management was pretty amazing. The CSM's they have are all very helpful and when you need help they come to you with a smile on their face and they aren't rude towards you in any kind of way.,4,Former Employee,Cashier/Customer Service ,"Moberly, MO",1/10/20,2020,1,10
Very dependent on your manager and department,I enjoy working at Walmart usually. My coworkers are very nice and I have a good manager. I do know from other employees that that is not always the case and managers can make the job rough. It can also be hard to get full time in the off seasons.,4,Current Employee,Sales Associate ,"Sevierville, TN",1/10/20,2020,1,10
Highley enjoyed,The customers and team associates were easy to get along with. My job was very fast pace and easy. They were very flexible with my hours and personal life. I learned how to operate a pallet jack and learned how to be patient with customers,5,Former Employee,Warehouse Associate ,7010 Auburn Boulevard,1/10/20,2020,1,10
It's a happy work place with things always needed to get done so your never just sitting round.,"You always have things to do so you stay active and energized throughout the day making you work harder, more accurately, and make time pass quicker.  In return the Managers are happy with your work and everyone has a good day.",4,Former Employee,Walmart unloader/stocker ,"Huntley, IL",1/10/20,2020,1,10
Good needed job,Good place to have a job when needed. Not necessarily a job with security.No need for any further review. Customers are great the politics is the worst of the job.,3,Current Employee,Department Manager ,"Butte, MT",1/10/20,2020,1,10
Routine/stable,You basically did the same things every shift; other than you dealing with different people. It was nice meeting new people and building relationships. Overall it was fine.,4,Former Employee,Asset Protection Associate ,"Nashville, TN",1/10/20,2020,1,10
Average,"Wal-Mart is customers driven and more so,driven by the mighty dollar. As far as their associates there isn't a lot of care,consideration or concern. People are put in positions and are not trained. Should an employee be verbally assaulted by a customer there's nothing done on the behalf of the employees",3,Current Employee,E-Commerce Associate ,"Sanford, NC",1/10/20,2020,1,10
Fun work environment,"My manager was great and the pharmacists who worked there were great too. I really liked this job, and would have stayed if pharmacy was in my career field, but it is not.",4,Former Employee,Pharmacy Technician Trainee ,"Bradenton, FL",1/10/20,2020,1,10
Eh,It all just depends on the manager running the store along with the way they treat others. The work part really isn’t that bad and fairly easy. It is mostly just poor management skills,3,Former Employee,Cake Decorator ,"Wilmington, OH",1/10/20,2020,1,10
"Good for experience, but don't get stuck",Walmart is a tremendous place to build experience and knowledge. The limitation is that only playing through the office politics games will you be able to advance past the lowest levels of management.,3,Current Employee,HUMAN RESOURCE & WORKFORCE ANALYST ,"Bentonville, AR",1/10/20,2020,1,10
"As Assistant Manager, you have no life. Schedule is horrible, especially if you work at a super center.","Store managers do not care about you. All they care about is their yearly bonus. If you strive to be a store manager, go for it! The pay is excellent! But don’t have any emotional concern for your Assistant Managers and you will do fine. Walmart spends millions per year training new Assistant Managers at their Academy. They fire Assistant Manager’s daily.",2,Former Employee,Assistant Manager ,"Lincoln, ME",1/10/20,2020,1,10
They don't care about you,They are inconsiderate and always want to fire people. I was great employee but because I took two days off due to medical reasons (I could not walk or get out my bed) they didn't excuse it . They don't care how you feeling or if you can't work all they c,2,Former Employee,Cap Team 2 Associate ,"Baton Rouge, LA",1/10/20,2020,1,10
don't work here,"I'd advise that working for a company like this your days are numbered. The industry is changing and you have to change with it. It's also not that great of a place to go to anymore if you'r a teen. The hour lunch is nice but how they work you and expectations you can have days where you are mentally and physically tired and no one really cares. The people that you work with are awesome and great. But, the management up are not your friends.",4,Former Employee,Walmart Cashier ,"Round Rock, TX",1/10/20,2020,1,10
Its alright job,"It's not the best job in the world, decent they like things done fast, cool workers, good pay for a retail job, Flexible, you get a 10% discount when you work for Wal-Mart for 90 days.",3,Current Employee,Retail Associate ,"Montello, WI",1/10/20,2020,1,10
Great for training in management,Everyday comes with its own specific problems or opportunities and there is always work to be done. Walmart offers lots of room for advancement and many training opportunities in all areas of the business.,4,Current Employee,Asistant Store Manager- E-commerce/ Grocery and Consumables ,"Indianapolis, IN",1/10/20,2020,1,10
Biased management,"Full time hours given to associates that they are friendly with and the rest suffer only getting 20 hours for a full week, had problems with a supervisor lying about me to get me fired.",3,Former Employee,Walmart Stocker ,"Seagoville, TX",1/10/20,2020,1,10
Most enjoyable part,Just be able to get get involve with customers and associate's on black friday from getting everything ready to when the events or sales took place to see how things were setup how to be able to handle sitiuations duri g a really busy time,4,Former Employee,Overnight Support Manager ,"8538 Interstate 35 Access Rd, San Antonio, TX 78211",1/10/20,2020,1,10
Good conpany,It's  a good  conpany   but after  Christmas   the hrs  go really  down for the hrs workers,3,Former Employee,Order Filler ,"Bethlehem, PA",1/10/20,2020,1,10
Productive and Fun,"A typical day at work is a very busy one. For the most part, I enjoyed working there, although there have been instances where I had been unhappy. But overall, the experience wasn't bad.",5,Former Employee,Associate ,"Jacksonville, FL",1/10/20,2020,1,10
It was Pretty good.,"While working at Wal-Mart, you will meet all kinds of people, both customers and employees. overall you will pick up both social and work skills, that you will use in any field.",4,Former Employee,SALES ASSOCIATE ,"4420 Meridian St, Bellingham, WA 98226",1/10/20,2020,1,10
Cap 2,The pay not acceptable for all the work we do. Cap 2 big turn over . Has the store claim we’re the back bone of the company we’ll pay us more and we do a lot through out the store as well.,1,Current Employee,Stocker Associate ,"Del City, OK",1/10/20,2020,1,10
It’s a job,Very cut throat if in management. Overall it’s a job nothing special or memorable. If you need a side gig or can’t land anything else it’s a good fill in for that.,2,Former Employee,ASSISTANT STORE MANAGER ,"Ellsworth, ME",1/10/20,2020,1,10
Very big organization. Not personal with their associates. They are always hiring and firing,They don’t care much about an individual but it is a good place to work if you want to just go with the flow. Scheduling is bad but can usually be fixed within a month.,3,Former Employee,Asset Protection Associate ,"Levelland, TX",1/10/20,2020,1,10
great pay for hardwork,"The pay is great however the work can be difficult, there is next to no forgiveness for attendance regardless how long you've been there. great benefits.",4,Current Employee,Order Filler ,"Gordonsville, VA",1/10/20,2020,1,10
Enjoyed working at Walmart.,"I received good experience,working for Walmart,gave them 15 years. A great place to work.I do recommend a good place to work.The mangers were respectful,as long as you do your job,didn't have a problem with them.",4,Former Employee,Cashier ,1585 Liberty Drive Thomasville NC,1/10/20,2020,1,10
N/a,The company is sometimes good to work for... Just really looking for more of work life balance for family and a career work place where I'm more comfortable at work as well,3,Current Employee,Support Manager ,"Goose Creek, SC",1/10/20,2020,1,10
Working cashier,Working cashier at Walmart and I also did layaway for a couple months and while I was there I had great learning experience and had great people to work with always got the job done,4,Former Employee,Walmart ,"Indianapolis, IN",1/10/20,2020,1,10
Unless your the manager its a hit and miss,"The Walmart I worked at in Excelsior Springs, MO, mostly all of the managers is less intelligent than the associates. It's honestly sad to see such a big corporation has such little care in its management. But besides the awful management at Walmart its not that bad of a place to work at.",3,Former Employee,Sales Associate ,"Excelsior Springs, MO",1/10/20,2020,1,10
Okay.,So this was an okay place to work.  It nothing special it was a job to pay the bills. Decent place to work tho. Meet some good people...that’s about it.,5,Former Employee,Associate ,"Paducah, KY",1/10/20,2020,1,10
great place,Overall Walmart is a great place to work. They work with their associates when it comes to flxiblitiy. The pay is average but can be better. I enjoy what I do there.,3,Current Employee,Frozen Food Clerk ,"Pompano Beach, FL",1/10/20,2020,1,10
Average,"Walmart is an average job . Easy to get hired ,however you do not get overtime, no holiday pay , and the managers doesn't care about you . It feels like working as a slave at this place.",2,Former Employee,Cashier ,"Denton, TX",1/10/20,2020,1,10
There’s good and bad in every job,The good about Walmart are the other employees. The management sucks really bad. I went the hospital and they didn’t even except my doctors notes cause they don’t except them.,2,Former Employee,Cashier ,"Scranton, PA",1/10/20,2020,1,10
Walmart has its pros & cons,"My review on Walmart,it’s a great job to have as far as benefits and everything,but it’s all about the people your working with. I work well with any & everybody because I’m a friendly person.",4,Current Employee,Customer Service Associate ,"Boutte, LA",1/10/20,2020,1,10
Decent job,"The Job Was Okay , It Couldve Been Better On Its Paying But I Mean Thats Walmart For You . I Liked It There Just To Far From Home And Waste Of Gas . They Were Nice Though",4,Former Employee,Cashier/Sales Associate ,"Clovis, CA",1/10/20,2020,1,10
Job opportunity,There are so many different positions to apply for. You can move up quickly by doing your job. Everybody is a team. Everyone is willing to help out if you need it.,5,Former Employee,Back room Supervisor ,"Iowa Falls, IA",1/10/20,2020,1,10
nope,"i hated this job, they also don't care if you're sick, if you have an emergency or anything. i wouldtn recommend this to anyone unless it was last resort",1,Former Employee,Cashier ,"Norman, OK",1/10/20,2020,1,10
Na,Overall was not so bad learned how to deal with inventory and control it as well and learned customer service a management could have been a bit better,5,Former Employee,Inventory Management Specialist ,"Lexington, KY",1/10/20,2020,1,10
