title,review,rating,status,position,location,date_posted,year,month,day
"very fast paced, demanding job, lack of communication",either you were working 40+ hours a week or getting almost none. management were never on the same page so you would be told one thing and then get yelled at by another for doing what you were told.,2,Former Employee,"Automotive Tech, Cashier, Customer Service Desk ","Portage, WI",1/21/18,2018,1,21
walmart,"Its Wal-mart, that's all there is to it. they will change your schedule last minute and not tell you, then write you up. the coworkers were great as was most of the lower management.",2,Former Employee,Electronics Associate/Hardware Manager ,"Boerne, TX 78006",1/21/18,2018,1,21
Great job hour lunch,Good work environment great job but the location I Was at the management sucks too many bosses I love the job great benefits the pay was good if I had gotten good hours and overtime it would’ve been nice they show so much favoritism 5150,5,Former Employee,Backroom Associate ,"Memphis, TN",1/21/18,2018,1,21
Productive workplace,This job is great and very hands on. You may work with a team or alone to get the work completed. You are paid right after a certain amount of time. This place is also very secured and is in a great location.,5,Former Employee,Stocker ,"Hueytown, AL",1/21/18,2018,1,21
Ok,"Soul sucking but easy work. Varied tasks as well as lots of help. Plenty of training. Management isn't the best, but not too bad. Interesting job to say the least",4,Former Employee,Sales Associate ,"Hurricane, WV",1/21/18,2018,1,21
Good place,a typical day at Walmart will be depending on the section you were located at. I learn how to communicated with customers and learn how to solve problems. management is always on point the associates and there is conflicts. The hardest part of Walmart is nothing really. The most enjoyable part of the job is the associates.,3,Former Employee,Sale Associate / Phone Operator ,"White Plains, NY",1/21/18,2018,1,21
Don't,"Do not work here if you value your sanity or anger control.  Expect long hours, no help from management or most coworkers.  Customers are often rude and you are often cleaning up after them,",1,Former Employee,Sales Associate ,Alabama,1/21/18,2018,1,21
Big company little benefits,Wal-Mart is a big company and the associates can and do get lost in the shuffle sometimes. My personal experience was one that I would say was not very favorable to the needs of my family. Which is why I left the company when I did.,3,Former Employee,Customer Service ,"Festus, MO",1/21/18,2018,1,21
Enjoyed working at Walmart,Working at Walmart was a great experience.  I made life long friends with some of my co-workers!  Working at Walmart helped prepare me for future jobs.,4,Former Employee,TRUCK UNLOADER AND TIRE LUBE EXPRESS TECHNICIAN ,"Olathe, KS",1/21/18,2018,1,21
good place to work at,Walmart is a good company to work for there is a lot of opportunity to advance .its fast and friendly work place .they teach you good skills so you can do your job better and faster and smart .they give you the rss to learn your job to succeed.,5,Former Employee,cap team supervisor ,"Huntsville, AL",1/21/18,2018,1,21
Ugly,Lost for word's manager were unfairly.to much put down .very ugly very ugly very ugly.make do work for 5 people and there one they had there favorite in this store you had watch your back,2,Former Employee,"backroom associate, GM Dr stalker ","Redlands, CA",1/21/18,2018,1,21
fast,"busy enviironmental, stressful and hard working. insurance promblems a lot. managers were kinda rude and demanding. we had fun. pay was good and also benefits",4,Former Employee,Certified Pharmacy Technician II ,Colorado,1/21/18,2018,1,21
It was a friendly environment.,"A typical day included, unloading trucks, preparing items to be stocked, and stocking. I learned how to properly and safely use equipment, such as pallet jacks also balers. Management was very understanding tough situations. The most difficult part of the job was getting the trucks unloaded in a reasonable time.",3,Former Employee,Cap 2 Associate ,"Midwest City, OK",1/21/18,2018,1,21
Its a job,"The employees there were great and some of the management staff were as well but there's always some sour apples. It was like a new team came in and got rid of the ""old timers"" and kept the new people who didn't work as hard or did as much as the old staff.",2,Former Employee,orderly product displays ,"Erwin, NC",1/21/18,2018,1,21
Longs hours,"What can i say, its retail.  Your work life Balance is absolutely terrible.  Your pay is from what i understand batter than most.  Hard to hire good quality help.",2,Former Employee,Shift Manager ,"Columbus, OH",1/21/18,2018,1,21
