title,review,rating,status,position,location,date_posted,year,month,day
Production is the main focus,The values that Sam Walton set were awesome but as the company has grown those things have been set aside,2,Former Employee,Processor/ Ship Clerk / DATA PROCESSING ASSOC ,"Statesboro, GA",7/22/13,2013,7,22
Used to be a great company to work for.,I worked for wal mart for almost sixteen years as an overnight mgr. and for most of the time absolutely loved it.  In recent years wal mart let go of it's core values and management became less educated and more like finger pointers just trying to keep themselves out of trouble.  There has been minimal focus on getting the job done and a greater emphasis on trying to make it look like the right things happened.  Sam's values were lost with the invasion of the share holders.,2,Former Employee,OVERNIGHT SUPPORT MANAGER ,Hanover MA,7/22/13,2013,7,22
Not the best place to work,"I started out as a cashier.  However, through my hard work and efforts, I became a Customer Service Manager for nearly a year.  I soon desired to be an Assistant Manager. Of course, I had a bachelors degree and had taken all the Global Management training modules they told me to do.  But management soon turned the tables on me.  They allowed things to go terroribly wrong.  They begin hiring thier personal friends children with no degrees right off the streets, making them Assistant Managers without ever working a day in management.  ",1,Former Employee,Customer Service Manager ,Houston,7/22/13,2013,7,22
Great working environment with great chance for advancement in many areas.,My typical day at consist of assisting customers in whatever needs they may have. My customers were very pleased with my work as a cashier/customer service representative. The management team was there when you needed them and tried to help out in any way they could. It was a friendly working place to work with all co-workers. There was no hard part of the job and the most enjoyable part of the job was working with the many different customers throughout the day.,5,Former Employee,cashier/customer service representative ,"Thomasville, GA",7/22/13,2013,7,22
Company with good benefits and gives associates opportunities to advance in their career.,"Customer service, stocking, and receiving/delivering shipments are major tasks at Walmart.  I learned how to deliver good customer service, multi-task projects, work in a fast-paced environment, and how to be a team player.  Management gives guidance and encourages associates to exceed customer service and expectations of the company.  The hardest part of me working at Walmart is the physical labor that comes with the job in which there are many tasks to be completed in a timely manner.  Interacting with different types of people who have similar or very different backgrounds.  Walmart is a very diverse company.",3,Current Employee,Inventory Supervisor ,"Dunkirk, MD",7/22/13,2013,7,22
Strong Community Feel,I really enjoyed my time working for this company. My managers were always extremely supportive whenever I showed a desire to learn new things or begin working for a promotion. My co-workers were always so friendly and helpful whenever I needed anything. I always received steady hours and pay was always well above minimum wage.,4,Former Employee,Cashier ,"Vancouver, Wa",7/21/13,2013,7,21
I love working with my coworkers,I work a 8hour shift. I learn that you have to take a job with the public one day at a time. Most of my management is good. I like working with all of my co workers. The hardest part of my job is when I get a rude customer. I enjoy being able to meet some of my new customers and seeing some of my regulars.,3,Current Employee,Cashier/CSM ,"Enterprise, AL",7/21/13,2013,7,21
"good people to work with, good management","I would do tire mounting, rotations, and balances. I also would assist with oil changes and friendly customer service. ",4,Former Employee,Tire and Lube Technician ,"Omaha, NE",7/21/13,2013,7,21
nice work place,very helpful work place_x000D_nice mangers_x000D_management was helpful_x000D_nothing really hard to do,5,Former Employee,Cart Pusher ,"Pooler, GA",7/21/13,2013,7,21
My Job at Walmart,"A great enviorment for customer and workers to interact . The daily activities consisted of many things . We started off the night with a group meeting to talk about the tasks for the night . Management was great, they helped us if we got busy and we always communicated to keep up with the work night. The job was always enjoyable and nothing at all was hard it was a task that needed to be completed and I always got the job done.",4,Former Employee,Overnight Stocker ,"St. Louis, MO",7/21/13,2013,7,21
Retail environment.,I somewhat enjoyed working here mainly because of the people i worked with. There no opportunity of me advancing and only advanced certain individuals.,4,Former Employee,IST Associate ,"Troy, OH",7/21/13,2013,7,21
Walmart,Very unorganized_x000D_To many managers telling u different things,3,Current Employee,Customer Service manager/Department Manager ,"Milwaukee, WI",7/21/13,2013,7,21
Consistent work with caring co-workers.,A typical day consists of immediately clocking in if the time permits it. The great thing was that they had several stations throughout the store where I could clock in. After I clock in I check my schedule to make sure I know the days I work. After the schedule checking I would walk to the electronics section and stand behind the station where only employees are allowed. More than likely someone wants to check out or view a locked item. If none of this happens I would find something to do. There is always a cart full of returned items that I could stock on the sales floor. My hourly supervisor is usually within reach if I need help. My co-workers are genuinely nice people. If I need help or they would ask if I need to take a break. The hardest part about working sales is not knowing about certain items and you get questioned the most about it. The part I absolutely love is when I help customers and the happy environment. ,5,Former Employee,Sales Associate ,"Lexington, KY",7/21/13,2013,7,21
management was unorganized,learn to change tires _x000D_had problems with co workers _x000D_did more work than others cause I was new_x000D_working with cars was the most enjoyable part of the day,1,Former Employee,Tire and Lube Technician ,"San Antonio, TX",7/21/13,2013,7,21
good and great customer servies provided,great interaction with people. the best co workers. the hardest part of the job was at night when we only had three cashiers and seemed like everybody from the city would come to shop. short staffed between 9-11,5,Former Employee,Cashier ,"Hewitt, TX",7/21/13,2013,7,21
the job was great just not permanent,"meeting customers was a bonus. putting out stock was a perfect fit for me , as I love organizing.",2,Former Employee,dairy/frozen associate ,"Mebane, NC",7/21/13,2013,7,21
busy,I would love to work with this company as a sales associate morning shift. The most enjoyable part of the job was working.,1,Former Employee,Stocker ,"Wilson, NC",7/21/13,2013,7,21
growth,worked with great people (customers as well). I was able to work all around the store and learned new things as I went. I learned how to do the layaway and was not looked over because of pregnancy. The manager knew I could do the job and quick on learning I pay attention and I done my job well.,5,Former Employee,Cashier ,"Anderson, SC",7/21/13,2013,7,21
walmart,"I love working there  I love the people, environment, Job, management, I loved to work on People cars. I love to help the customer out, I have learned a lot of different skills that I can use in life. The hardest thing for me as a manager is to fire someone, My favorite part is putting a smile on the customer and associate face.",4,Former Employee,Department Store Manager ,"Paducah, KY",7/21/13,2013,7,21
fun place to work if your a peole person and hard worker,if you live to please the customer this is the place for you.  _x000D_Happiest place I've ever worked.,5,Former Employee,Cashier ,"Phoenix, AZ",7/21/13,2013,7,21
"comfortable place to work, good environment","everyone helped everyone, learned many new things on the job",4,Former Employee,Overnight Stocker associate ,"Lake Jackson, TX",7/21/13,2013,7,21
good pay great hours ,"worked at the dc as a order filler in the freezer, easy job a idiot could do it just work hard.The pay was awesome each three months you stay there you get a 50 cent raise was making 20.85 at 1 year mark.worked on the weekends three days a week.the thing that sucks is you never know how long the day would be it could be from 10 hours to 18 so that sucked but good job for a loser like me who didnt go to college so cant complain people",4,Former Employee,Order-filler ,"Wintersville, OH",7/21/13,2013,7,21
Got groceries,I enjoy learning every department in the warehouse. I enjoy being a manager most of all. I feel I always had the respect of my employees. I wish I could have advanced higher. Nothing in the warehouse I couldn't do.,4,Former Employee,SHIPPING and RECEIVING MANAGER ,"Shelbyville, TN",7/21/13,2013,7,21
A good job with benefits,Wal-Mart is a company baised on Sam Walton's beliefs that the customers and employees are the most important part of the success of the company.,3,Current Employee,Human Resource Manager ,"Acworth, GA",7/21/13,2013,7,21
Needs to Improve,Needs to improve in Customer service and managing coworkers. Managers needs to be more sensitive to the needs of the employee.,1,Former Employee,Baker ,"Round Rock, TX",7/21/13,2013,7,21
"Great benefits, friendly atmosphere","I would work from 10pm til 7am running freight in a dept, I was also part of the backroom tean that was responsible for making sure overstock frieght was properly palced in the right depts inthe back room. I also processed apperal merchandise to be put out onto the salesfloor.",5,Former Employee,Overnight stocker/ IMS Assoc/ Inventory Processor ,"Charlotte, NC",7/21/13,2013,7,21
fun,worked in the furniture department. long boring days not many customers.,3,Former Employee,Sales Associate ,"Mobile, AL",7/21/13,2013,7,21
was once one of the best retail chains to work for,"a typical day at work begins with scanning your badge and reviewing your assigned tasks, heavy on customer service, speed of work and increasing work loads._x000D_through walmart i have learned inventory management, honed my customer service skills to near perfection, and became very proficient in using a hand held computer system._x000D_management at walmart can be very hit or miss, some take their responsibilities very seriously, and a percentage of those go overboard, while others seem very lax. while a lax management team seems like a good time, when you need something done, it's very irritating._x000D_co-workers at walmart are much like any retail environment, highly diverse, some lazy some hard working some fun some very serious._x000D_it's walmart, there really isnt anything hard about the job._x000D_it's walmart, there really isn't anything enjoyable about the job.",4,Former Employee,Sales Associate ,"Bellmead, TX",7/21/13,2013,7,21
Fun workplace,"great place, very fast paced work environment. Great people, great atmosphere. would recommend this business to anyone.. greeted customers,stocked shelves,",4,Former Employee,Produce ,"Suffolk, VA",7/21/13,2013,7,21
stable job. good hours,I was in High school when I worked here and had to quit due to college classes interfering with my work schedule. ,5,Former Employee,Sales Associate ,"London, KY",7/21/13,2013,7,21
Fast pace,Daily changes but fast pace was demanding long shifts 10-12hr a day; meet new people managed 7-8 people at one time. ,3,Former Employee,Service Desk Associate ,"Dallas, TX",7/21/13,2013,7,21
Not where I want to be. My expectations are higher than theres.,Good people to work with as associates.Not a good company for longevity and retirement.,2,Current Employee,Sales Associate ,"Littleton, NH",7/21/13,2013,7,21
I enjoyed working with the public and meeting new people. ," My typical day was filling  the meat wall, damages, mark downs. And customer service._x000D_ When I worked in the deli ,I was responsible for customer service, making sandwiches, cooking and  keeping the area clean. _x000D_     I learned to be a person  whom is a happy and  friendly even in  not so good situtations. _x000D_       Management were a little hard at times on getting the job done faster. However one can only work so fast and do it correctly and the undrestud that._x000D_          The hardest part of my job was the lifting some times.  When I found it hard I would ask for help and get the job done to  the best of my ability. Then proceed to doing the next task at hand._x000D_          I think the most enjoyable part of my job was  _x000D_Meeting new people and learning differnt thing from them. Weather it be a recipie or just haveing a great laugh at waht they have to say. ",3,Former Employee,Deli Associate/ meat associate ,"Queensbury, NY",7/21/13,2013,7,21
Productive and fun,I was told that my job was a full time job and was let go 2 months later saying it was seasonal I didnt appreciate that other then that very nice place to work. ,4,Former Employee,Customer Service Associate ,"Marianna, FL",7/21/13,2013,7,21
Wouldnt recommend. ,"Okay company, Good customer service experience gained, management was slack, often had to do their job duities while they relax in the back room... co-workers were great, no problems getting along with anyone. hardest part of the job was dealing with difficult customers, but it was good experience. the most enjoyable part of the job was getting off. ",3,Former Employee,DELI ASSOCIATE ,"Columbia, SC",7/21/13,2013,7,21
Typical Job,"I work a night shift from 10pm-7am. I typically stock freight, unload trucks, work backroom, and manage inventory._x000D__x000D_Management does a decent job given the strenuous tasks they are assigned. Co-workers work together as a team to get the job done before the store opens._x000D__x000D_Hardest part of the job is definitely the work load. We are given a relatively short amount of time to complete a very large amount of work, yet we still get it done. I have personally always achieved par time.",3,Current Employee,Receiving Associate/Overnight Stocker/Backroom IMS ,"Bad Axe, MI",7/21/13,2013,7,21
Fairly average job.,"Pretty much the middle ground down the line. The work is not always very hard, nor it is always very stress free. Management is sometimes oblivious to the needs of workers. Not a lot of benefits available for part-time workers.",3,Former Employee,Floor Associate ,"Herkimer, NY",7/21/13,2013,7,21
Fun place to work,Never had a chance to get bored while working here because there was always something to do. I learned how to become a cashier in someplace other than a fast food restaurant and enjoyed it a lot more because I met a lot more people and had a lot more to do. I was only there a couple of months and don't really remember what management or my co-workers were like. The hardest part of the job at first was when we had to go to another store to train to use the ebt cards and wic vouchers. The most enjoyable part of the job was without a doubt the different people I got to see and help everyday.,4,Former Employee,Cashier ,"Bellefontaine, OH",7/20/13,2013,7,20
productive work place,Great work environment Full of energy_x000D_and kind people_x000D_Great customer service and detail oriented facility  ,4,Former Employee,Garden Center Cashier ,"Tampa, FL",7/20/13,2013,7,20
well structured and a great place to shine,"Responsibilities include but not limited to:  Providing utmost Customer Service care; maintaining the departments that I am in charge of in accordance with Company policies and procedures; operating equipment, such as cash registers and related tools; supervision of Associates by assigning duties, communicating  goals, and providing feedback to upper level management, participating in the hiring, promotion, coaching, teaching and evaluating of Associates; approving monetary transactions, conducting register audits coordinating meals and breaks_x000D_ _x000D_",5,Current Employee,Department Manager ,"Saint Petersburg, FL",7/20/13,2013,7,20
fun place to work at,its always been enjoyable and the workers there are very hard working,5,Current Employee,Cashier/IMS/ Overnight ,"Gilroy, California",7/20/13,2013,7,20
Excellent company culture,"I worked at wal-mart for 18 years.  It was a great place to work. I moved up from an hourly customer service manager to a salaried district manager.  I trained other new district managers in the region of florida, as well as new department managers, and in Puerto Rico",4,Former Employee,District Merchandiser ,"Boynton Beach, FL",7/20/13,2013,7,20
I enjoyed it ,i worked on the remodeling crew to help finish building the inside of t he brand new walmart passed commonwealth 20. I worked in the electronics department and it was a great experience and eventually chose overnight work as i began to go through school and became a stocker. I left wal-mart when i became ill and had been put on bed rest. I enjoyed my experience and would go back.,3,Former Employee,Electronics associate/Stocker ,"Midlothian, VA",7/20/13,2013,7,20
productive,great working with the employers except for the conflict with scheduling,3,Former Employee,"Cashier, Sales Clerk ","Hattiesburg, MS",7/20/13,2013,7,20
Very unorganized and unprofessional,This has been the worst job I've ever had. Managment does not appreciate their employees hard work and does not value their needs.,2,Current Employee,Cashier ,"Houston, TX",7/20/13,2013,7,20
"Unfair, Unorganized ",I really didn't have a good experience working here. The management was not structured and they were not very trustworthy. they also made a lot of false promises.,3,Former Employee,Overnight Stocker ,"Brownsburg, IN",7/20/13,2013,7,20
It's alright,"I can't say that I haven't learned alot from Walmart, but I will say that it is a terrible company. I can't say that I have a most enjoyable part or a hardest part, the year and a half that I've worked there I've just managed to get by to make an income.",2,Current Employee,Cake Decorator ,"Indiana, PA",7/20/13,2013,7,20
A great place for a business professional to get their foot in the door. ,"As an Order-filler, I would drive around on a pallet jack with a headset which told me where to go, what product to pick, and how many. I would strategically fill my pallet(s) in an allotted time while performing safe work practices and drop the pallets off at the wrap machine to be loaded on to a truck. _x000D_As a Lift-driver I would operate a stand-in forklift in an effort to replenish product pick-slots for order-fillers, and or put away full pallets of product into the warehouse rafters for storage.",4,Former Employee,Hourly Associate  ,"Clarksville, AR",7/20/13,2013,7,20
great benefits with a lack of balanced management,great company with great benefits but makes it very difficult to keep your job or advance unless you started as an hourly associate in the stores.,4,Former Employee,Sr. Sourcing Manager  ,"Bentonville, AR",7/20/13,2013,7,20
Productive,Great environment to work in and coworkers were awesome. I learned a great deal from thins job and it's an experiance I'll always take with me,5,Former Employee,Stocked room attendant carts ,"Bismarck, ND",7/20/13,2013,7,20
Indoor productive day,"Once at work we get ready and set up to unload the trucks in the back. Organizing each in a specific category (like frozen, dairy, etc.). At a certain time we will deliver everything out for the stockers to put up in their certain places. Afterwards, we are supposed to pick out the merchandise that is needed on the floor. Also, we assist the manager to do other errands that are needed to be done. Clean up our area before the time we are assigned to leave.",4,Former Employee,Unloader/Stocker/Sales ,"Wharton, TX",7/20/13,2013,7,20
Fun workplace,Had great hours and really good benefits no complaints about management or co-workers this was one of my favorite jobs.,5,Former Employee,Forklift Operator ,"Fort Pierce, FL",7/20/13,2013,7,20
No Title,i have nothing to say about walmart at all typical day at work_x000D_what you learned_x000D_management_x000D_your co-workers_x000D_the hardest part of the job_x000D_the most enjoyable part of the job_x000D_DO NOT include ,3,Former Employee,Cashier ,"Beloit, WI",7/20/13,2013,7,20
fun busy,"super busy , every worked together as a team in getting everything done. very nice and helpful._x000D__x000D_I learned how to interact with many people of all different kinds, that how to talk and relate to everyone.  ",5,Former Employee,Customer service associate ,Audubon ,7/20/13,2013,7,20
Interesting place to work,"I enjoy my job because, I care for my customers and fellow co-workers.",3,Current Employee,Department Manager ,"Olathe, KS",7/20/13,2013,7,20
