title,review,rating,status,position,location,date_posted,year,month,day
"Great management, great coworkers, never a dull moment","If you have a self-motivated personality, an eye for detail, and are great with people, the job is great. Some stores don't seem to manage the Deli so you must be able to ""find your own fun"" by cleaning and preparing cooked food while not assisting customers.",5,Former Employee,Deli Sales Associate ,"Mankato, MN",4/11/12,2012,4,11
busy everyday,"was a short term job, but we got it done, we put up a new Walmart store",2,Former Employee,Maintenance ,"Wichita, KS",4/11/12,2012,4,11
Looking to expand Family,"Finding the challenge that will make life easier and more worth while.Tired of the normal check to check.Ready to separate the ""men from the boys"".",4,Current Employee,Produce Clerk ,"Burleson, TX",4/11/12,2012,4,11
Good place to work,"Unloading merchandise trucks and assisting customersI learned alot about how the sales floor and back room are runThe management team was ok, but there was a lack of communicationCo-workers were friendlyDealing with the daily work loadWorking hard from clock-in to clock-out",3,Former Employee,Inventory Management Supervisor ,"Streetsboro, OH",4/11/12,2012,4,11
OKay,I worked at night time from 10pm til 7am.we start out by having a meeting before work everyday to tell us the numbers of production on stock.we then go to work and start pulling the items that need to be stocked to our aisles.then cut the packages with a box cutter to get to the items and simply stock them on the correct shelves and in a nice and timely manner.,3,Former Employee,Inventory Associate ,"Jacksonville, FL",4/11/12,2012,4,11
this job was very productive and easy going.,"Even though it was a very busy enviroment. it was a positive atmosphere. faced the department, pulled merchandise from that had been found in other departments or returned and would place them back on the shelves unless they had a defect then would label them and put them in a spacific place for them in the back. Assisted customers. worked with others when a display had to go up and worked well together. stood in for front registers (the main ones in front)",4,Former Employee,sales rep ,"Houston, TX",4/11/12,2012,4,11
A Great Place to Learn Customer service,"After working at Wal-Mart for over seven years, I have learned to do many things and how to be flexible in having to learn more things. I work in the tire and lube center where I deal with stocking shelves, ordering products, handling customers that are coming in to having service done to their cars, and check people out after they are done shopping.I do enjoy my job and the people that I work with or have worked with over the years. I try to learn things from everyone I work with. I help other areas in customer service, usally after I get my counters clear of customers. The hardest part of the job is the when there are not enough people to help customers. Even though it seems like a never ending job, my favorite part is making sure the shelves are stocked, the back room is clean, and my customers are happy and wanting to come back.",5,Current Employee,Cashier/Customer Service ,Benton IL,4/11/12,2012,4,11
good work place,I go to college i learn how to hang doors drywall window and i can make a rafter,4,Former Employee,remodeling temp work ,williamsburg ky,4/11/12,2012,4,11
Good Place to work,"dependable job, and a chance to grow within the company. Working as a pharmacy technician I have learned to always pay attention to details, multitask, and learn fast. I love helping the customers and making sure they are satisfied with my service. It can get stressful at times but I don't let that get to me because mistakes are absolutely not allowed in this line of work.I love working with others, and I am very much a team player. I can also accomplish a task by myself without supervision.The most enjoyable part of the job is when I see a happy customer and also there is always something new to learn.",5,Current Employee,State Registered/ Certified Pharmacy Technician ,"Marietta, GA",4/11/12,2012,4,11
"Motivating, publicity, busy enviornment","Again with a place being in the public I enjoyed working with the customers face to face and having the visable interaction, it is just amazing the things that you get to talking about and the side conversations, its very enjoyable.",4,Former Employee,Deli Associate ,"Colorado Springs, CO",4/11/12,2012,4,11
it's a job,"i worked in TLE did shelve stocking and lubrication,oil,tires etc. the job was cool the people i worked for however weren't the most intelligent people, or the cleanest.",1,Former Employee,Lubrication Technician and Automotive Stocker ,"Clinton, IA",4/11/12,2012,4,11
Walmart Conditions,I thought Walmart was great. It gave me flexible hours and it was always something for me to do.,4,Former Employee,Sales Associate ,Elkhart,4/11/12,2012,4,11
Management,"Most management was easy to talk to and able to solve any and all problems without too much effort. Although, some of the management team simply did not have the drive.",4,Former Employee,Customer Service Manager ,"Reno, NV",4/11/12,2012,4,11
