title,review,rating,status,position,location,date_posted,year,month,day
awful company to work for,Walmart does not honor all employees. They only cared about management. At the time that I worked there the pharmacy manager was extremely crass to all the employees,1,Former Employee,Pharmacy Technician ,"Birmingham, AL",4/23/19,2019,4,23
"Good place to work, good benefits","Good place to work.  Good benefits.  Good people, stressful.  I like the people  and working with the suppliers.  Good culture.   Learned a lot.  Everything is a firedrill which causes a lot of stress.",5,Current Employee,Replenishment Manager III ,"Bentonville, AR",4/23/19,2019,4,23
Poor Management,The atmosphere in Walmart is very poor. Management and H.R were very slow on many issues that came up. They expected 120% from the employees but only gave back 50%.,1,Former Employee,Front End Manager ,"Americus, GA",4/23/19,2019,4,23
Good place to work,"Great place to work, I love the people I work with and the company is laid back. The only problem is the hours aren’t working out cause I’m not able to work graveyard anymore.",5,Current Employee,Stocker/Cashier ,"Lebanon, OR",4/23/19,2019,4,23
Fast paced always busy.,Managers helped if needed also worked with you a calm environment they don't really bother you if you catch on quickly and do what you have to do and show them your capable of preforming the job and meeting deadlines.,5,Former Employee,Maintenance ,"Salisbury, MD",4/23/19,2019,4,23
Terrible Management,"I worked here as an early morning stock associate. The management was poor and lacked communication with each other. You'd only be allowed six days *a year* to call out. Even with a doctors note, you'd still get points for being absent. No absences were excused unless you previously got that day off approved. No work/life balance at all. Everyone who worked here was unhappy and hated the job. They paid no where near enough for the amount of stress that came with the job. The managers expected certain task to be done within a certain amount of time even though we were completely understaffed. Only holiday you'd for sure have off is Christmas day. Terrible job and I would NEVER go back here. Only good thing is the a flexible schedule with the days and amount of hours you'd want to work.",2,Former Employee,Stock Associate ,"Buford, GA",4/23/19,2019,4,23
I really enjoyed it.,I loved working at Walmart. I had a set schedule. The other employees were nice to work with. I loved the managers. They were fair treated you well. And always there when you needed. I loved the customers!,4,Former Employee,Cashier and Customer Service ,"Ellsworth, ME",4/23/19,2019,4,23
my review of walmart,I like working for Walmart.  I never really had a problem with my managers.  They were always trying to help me whenever possible.  I miss working with the people but at this time I don't want to go back to Walmart.,4,Former Employee,Pharmacy cashier ,"Amory, MS",4/23/19,2019,4,23
abcdefg,the work culture with other peers is great however managment is always at odds about how to handle customer complainsts and situations. very confusing. a lot of chiefs but not enough indians,2,Current Employee,Checkout Host ,"Loganville, GA",4/23/19,2019,4,23
decent pay but bad environment,place is a nightmare to work at. Walmart wants to compete with amazon warehouse but expect you to do so with very old machinery and old software. No A/C in the entire warehouse so during summer it's a sauna.,1,Current Employee,Material Handler/ Freight Handler ,"Apple Valley, CA",4/23/19,2019,4,23
My review,My review was that Walmart is a spectacular place to work I would definitely recommend working there! They always were flexible with my hours and understanding,5,Former Employee,Overnight Stocker ,"Franklin, NJ",4/23/19,2019,4,23
Excellent,"Excellent company, great advancement opportunities, relocation. Competitive wages, travel. Team building, team based, decision making, leadership, customer based.",5,Current Employee,Store Manager ,"West Haven, CT",4/23/19,2019,4,23
Productive and fun workplace with a lot of management issues. Overall a good place to grow and meet great people.,I've met a lot of good people there. My only downfall was management wasnt making the best decisions when it came to how they approached certain departments. The pay was good and you had a lot of opportunities there.,5,Former Employee,Stocker/unloader ,"Raleigh, NC",4/23/19,2019,4,23
Productive and fun place to work,A typical day as a supervisor at Walmart consist of making sure you’re on routine each and every day. The culture is very enjoyable. You get to meet new people everyday. Walmart is a great company to grow with.,4,Current Employee,Department Manager ,"Montgomery, AL",4/23/19,2019,4,23
The environment was relaxed.,The environment and people were relaxed and fun to work with.  The hours and scheduling was often tough.  Work until 11pm and be back at 7am the next day.  Very tiring.,3,Former Employee,Assistant Store Manager ,"Indianapolis, IN",4/23/19,2019,4,23
N/a,This place is a suck hole that looks for any reason to write older seasoned employees up so that they don't have to pay them and they can get rid of their full time help.,1,Former Employee,Associate ,"Zephyrhills, FL",4/23/19,2019,4,23
A great place for young people looking to grow their career.,A great place for young people looking to grow their career. Technical skills and experience with e-Commerce are highly valued. Opportunities to work across many business units.,5,Current Employee,Director ,"Bentonville, AR",4/23/19,2019,4,23
