title,review,rating,status,position,location,date_posted,year,month,day
Amazing,The best place to work ever I made a ton of great people and friends I'd love to work here again but would like to have something different you definitely get treated like family,5,Former Employee,"Cashier, Customer service ","Houlton, ME",2/25/20,2020,2,25
Parents,The attendance policy doesn't take into account single parents. One of your kids get sick and you dont have any family around to help you have to miss then of course your other child catches it and you miss again and just like that your half way to fired,2,Current Employee,Cap 1 Associate ,"Sioux Falls, SD",2/25/20,2020,2,25
it was a good company,working for walmart is fun and they help you out as much as possible to make sure you succeed and do your job well. management is good and they’re focused on your work,3,Former Employee,Walmart Stocker ,"Stockton, CA",2/25/20,2020,2,25
They don’t help when needed,They don’t help you or notify you when something going wrong with the system and very forgetful and they tell you things you should be told but never tell,2,Former Employee,Walmart Stocker ,"Glendale Heights, IL",2/25/20,2020,2,25
I could work there again,I loved working at Walmart. I would love to get my job back there. They had they ups and down there but it was a good place to work . The only thing I didn’t like was some of the people there like to talk about people even the Customer,3,Former Employee,Cashier ,"Bennettsville, SC",2/25/20,2020,2,25
Advancement,There are no opportunities for advancement in this company unless you have twenty or more years of work experience at this facility. The culture here is great but to advance is impossible because people are only promoted by agreement which means saying yes without question. I’m a long time associate here and I love the people and benefits which are offered by the company.,4,Current Employee,RSR Driver ,"New Braunfels, TX",2/25/20,2020,2,25
Need to have a lot of patience.,Work there was a learning experience. I learned to have patience and to ask questions when needed to my employer. The hardest part of the job is learning to work well with difficult customers.,4,Former Employee,Cashier/Front End Associate ,"Aurora, CO",2/25/20,2020,2,25
Management are not professional and do not care for customers or associates,To much is needed from you for the pay you get not worth it_x000D_Management do not often allow you to take PTO_x000D_Management set unreal expectations of associates that just aren’t obtainable in everyday work time,3,Current Employee,Cap Team 2 Associate ,"Dallas, TX",2/25/20,2020,2,25
nothing,Management is ok  i think some there should not be in positions that they are in especially in automotive._x000D_MOst of the people that work there as employees are decently helpful,4,Former Employee,Automotive Technician- Oil & Tire ,"Defiance, OH",2/25/20,2020,2,25
It is a good place to work for all people.,"Best job I’ve had so far. _x000D_The job alone changed my personality into someone who has great people skills and an ability to solve issues very quickly and with care. The customer service management staff was the best I’ve ever seen. They handle everything with the utmost professionalism and class, I was told my chances of advancement were high even though I had only been there for 2 years. I met all kinds of people and that has been a very rewarding experience with many great memories. The good far outweighed the bad. I would love to work there again if I could",5,Former Employee,Cashier ,"Saginaw, TX",2/25/20,2020,2,25
Rough gig,Walmart is Walmart. Greedy production will always get in the way of treating employees correctly. Break your back for 6 months or so and get fired .. so on and so forth.,1,Current Employee,Order Filler ,"Wintersville, OH",2/25/20,2020,2,25
Underpaid and undervalued,this complaint is a bit outdated considering Walmart has upgraded their pay grade but when I was employed there I was under pay for my years of experience in the grocery industry,1,Former Employee,Walmart Stocker ,"Burlington, NC",2/25/20,2020,2,25
Was a good place before Walmart took over,"Culture was good until Walmart took over . Management left , culture changed , number driven , no customer care ! _x000D_Sad , Jet was good and dismissed once Walmart arrived ,",2,Former Employee,"CSR Chat, Email, Phones ","South Jordan, UT",2/25/20,2020,2,25
Walmart,I loved working there It was a fast pace environment but everyone was nice. I worked as a cashier and stocker and you can easily move up into the company if you put in the effort.,5,Former Employee,Wal-Mart Cashier ,"Glasgow, KY",2/25/20,2020,2,25
Employees not prioritized,Constant cuts and personnel changes made it difficult to establish any sort of consistency in expectations and tasks. The scheduling was often a mess as our HR department was downsized and one person was stuck with the work of 3 people,1,Current Employee,Associate ,"Meridian, ID",2/25/20,2020,2,25
Must be a Go Getter,"Hard work,Little pay._x000D_They were ok to work for._x000D_Management was ok._x000D_Never had set hours and it was hard to get on Full-time._x000D_I enjoyed being around people.",2,Former Employee,Checker ,"Gonzales, TX",2/25/20,2020,2,25
Loved it,I loved this job and everyone was nice . Even though you have bad days. The good days out weighed the bad. I loved this job. i was just unable to go back when my leave was up after my wreck.,5,Former Employee,Cashier/Customer Service ,"Ripley, MS",2/25/20,2020,2,25
Good,"Nice job ,pays good money. Great management. Would tell everyone to work here. A good first job to have. Pays the bill. Has a lot of benefits like stocks, insurance and schooling",5,Current Employee,Walmart cart pusher ,"Millville, NJ",2/25/20,2020,2,25
Great employer,"Awesome job a lot of things that you can learn to improve yourself, learned a lot of great things and great people to work with and Walmart has a lot of different opportunities",5,Current Employee,Sales Associate ,"Liberal, KS",2/25/20,2020,2,25
decent workplace,long hours for orderfillers short breaks revolving door management. Inconsistent OT Good pay and benefits. Its a competitive environment for the most part.,3,Current Employee,Hauler ,"Cleburne, TX",2/25/20,2020,2,25
meeting new people,Every day you meet someone new and different._x000D_I enjoyed working with the associates in my department and I liked the way that you could work in another department if they needed help.,1,Former Employee,Sales Associate ,"Saginaw, TX",2/25/20,2020,2,25
It was an alright job.,"My job at walmart wasnt exciting but it wasnt boring either. It was an average job,granted the hours of work needed varied from day to day. Over all it was at least half decent.",3,Former Employee,Walmart Stocker ,"Hobbs, NM",2/25/20,2020,2,25
Like any other big corporation...,Only care about their profits and bottom dollar.. Not about the employee.........................................  .. ....   . .typical big corporation,2,Former Employee,Backroom Associate ,"Lowville, NY",2/25/20,2020,2,25
Turn over rate above 60%,This work place is a very hostile place to work. Employees form cliques and gang up on each other. Not a professional place to work. Managers are not present nor trained to work in their own departments. I felt like I was in high school. Do not work in the bakery or deli it is very stressful and disorganized. The turn over rate at Walmart is above 60% which says it all.  But I think the corporation itself is trying to take care of employees fairly. The corporation is failing on the lower management level and human resources at my store was never helpful.,2,Former Employee,Bakery Associate ,Washington State,2/25/20,2020,2,25
Great people to work with!,Stocking manager was awesome. When I went to the on-line expeditor I didn't feel as happy. _x000D_The training videos are great. The benefits are wonderful also.,4,Former Employee,Online Expeditor ,"Marinette, WI",2/25/20,2020,2,25
Walmart,"I will alway come back to work at Walmart. It a great place to work. For the two years I been with the company, I never had barely any issues. Overall is a great place to work.",4,Former Employee,Cap 1 Associate ,"Philadelphia, PA",2/25/20,2020,2,25
Productive and amazing management,Amazing coworkers and managers. Everyone helps one another and we all get along. Management is very kind and considerate of anything you may have going on. Felt at home and never went home upset.,5,Former Employee,Cashier/Sales Associate ,"Covington, VA",2/25/20,2020,2,25
What you can learn.,Unfortunately no matter how hard you work to make the company proud of you. You have to be in the click or your nobody. Very unfortunate because good hard working employees get passed over.,3,Current Employee,Cashier/Customer Service ,"Porterville, CA",2/25/20,2020,2,25
hard but worth it,benefits as well as paid time off on the job tanning opportunity. the management was all was helpful with any and all questions and problems that might arise in the warehouse. the warehouse itself was all ways dependent on the weather hot or cold wet floors in the rain,4,Former Employee,Order Filler ,"Statesboro, GA",2/25/20,2020,2,25
come in and open bay doors and start checking in cars until we get done and if there ain’t any cars then you need to clean the shop,Management sucks if you are not up there butts all day long then they think you are the bad guy and they have no respect for anyone including the older ones there,1,Former Employee,Technician ,"Wytheville, VA",2/25/20,2020,2,25
Horrible place to work and managment sucks,Walmart has great pay if your a low income family and really need the money. But they treat their employees wrong and don't appreciate the work that they do.,1,Current Employee,Stocker ,"Columbus, MS",2/25/20,2020,2,25
need a better boss,Im usually by myself dispensing orders to the customers. I never have time to quality check cause im to busy. Theres surpose to be at least two people in the back to help. They are permoting a guy who doesn't help or do anything. Women need help with heavy items and he wont help. He takes stories out of context and lies about them. Had  meeting about are area and he lied no one asks for him. He constantly leaves us without telling where he goes and never wants to dispense. We complain about him and nothing is done about it. There letting sixteen year olds dispense and theres items that ask for id to make sure there of age. LIke gum to help you stop smoking and cold medicine. Spit days off people have kids and things to take care of. They say we will get no hours and try to scare us not to do it.,1,Current Employee,online shopper ,"Wasilla, AK",2/25/20,2020,2,25
Write orders,Like  any other big company expected to do the job of two or three people.   What you to to do it for what seems like ok pay but for the things you have to do are under payed compared to management,3,Current Employee,TLE Sales Associate ,"Pikeville, KY",2/25/20,2020,2,25
We worked as a team and plan our day.,Very productive I had fun when I'm working with walmart stuff. Sometimes thing doesn't go well with some of the crew. But at the end of the we were family.,4,Former Employee,Supervisor Assistant ,"Monroe, NY",2/25/20,2020,2,25
Walmart,"Nothing nice to say about this place, all people here are evil and bring you down, bad atmosphere, rude management and HR., All they care about is the bonuses.",1,Former Employee,Order Picker ,"Baytown, TX",2/25/20,2020,2,25
Fun and easy place to work,"Walmart is a fast paced, exhilerating way to make a little difference in peoples lives. A fun place to work with lots of good people and plenty of opportunity.",4,Former Employee,FRESH SALES ASSOCIATE ,"4300 Missouri Flat Rd, Placerville, CA 95667",2/25/20,2020,2,25
Don’t apply to stock or cashier. The job overall is bad they pay good for young adults. But the managers don’t care about you at all.,My work experience for Walmart was good at first but as time went on I realized that my supervisor was racist. And my manager didn’t really care about his workers. They just wanted you to push your self above limit and feel exhausted. Once I asked to switch positions my manager wouldn’t let me and he would go outta his way to make me look bad. And not let me leave. And I also got let go for getting a drink of water and telling the manger that’s what you on bro,2,Former Employee,Walmart Stocker ,"Mishawaka, IN",2/25/20,2020,2,25
Overall a good company to work for.,I very much enjoy working for Walmart. I have learned vast amounts of knowledge.  I was promoted quickly based on my quick learning ability. I was also given the opportunity  toattendtheiracademy  which was a great learning experiance. However the manageme t in the store im employed at is very much lacking.,4,Current Employee,Department Manager ,"Bellevue, NE",2/25/20,2020,2,25
It was good,I like the location and the work was excellent I leaned a lot and hope to be with the company in my new location I moved so I had to find another one but I liked the job,5,Former Employee,Warehouse Associate II ,"El Paso, TX",2/25/20,2020,2,25
Walmart,"This was the best job to have no hard work great pay and good benefits, the people there is cool and work as a team. Everyone just has good spirits there you’ll be so comfortable working there.",3,Former Employee,Stocker ,"Milwaukee, WI",2/25/20,2020,2,25
Walmart,Most of management have no people skills always talking down to associates but as a whole I enjoy my job and complete what I need to do for the day just wish they management didn’t put people down when they should boost morale,1,Current Employee,receiving associate ,"Redding, CA",2/25/20,2020,2,25
Cloak and dagger,Walmart is eliminating management positions but still hiring for the positions that are being eliminated.  The Senior leadership in the interview will not tell you that your job is going away in a few months and that you all will have to re-apply for a new job.  The roll out of GWP has left everyone confused and unsure of their future.,2,Current Employee,Assistant Store Manager ,Pennsylvania,2/25/20,2020,2,25
Decisions,"everything in life depends on what you are looking for personally. If you are looking for something temporary then Walmart can’t be beat. But, if you are looking to build and establish a career it might take u some time to do so at wally’s world and that’s only because it’s a long line ahead of you.",4,Former Employee,Overnight Stocker ,"Wilmington, NC",2/25/20,2020,2,25
"Professional, attentive to detail, and willingness to learn","Working in retail is a labor of servitude. It takes an understanding that you are there to meet the needs of the customer. As a manager in retail, your customers are both internal and external. One must be competent and humble to serve for sets of customers. As a manager, one must be willing to learn and constantly professional as well as relentlessly attentive to detail. This is not a position for everyone, but for those who fulfill the above mentioned characteristics, they will flourish and advance quickly.",4,Former Employee,Assistant Manager ,"Roswell, NM",2/25/20,2020,2,25
The company only cares about the money they can make.,"This was by far the worst company I have ever worked for. I was getting billed by a man 4 times my age and no one in management would do anything about it even after it was caught on video with many witnesses. I went to ethics soon after, it got turned back over to management and I ended up getting billed by management to the point of me having to quit because it was just to unbearable.",1,Former Employee,Wal-Mart Associate ,"Florence, AL",2/25/20,2020,2,25
"Thie Diversity , and the altitude   of management","The Whole Wrold Walmart enviroment  need to changes ._x000D_The "" Diversity  of Walmart Management""   are more politics. With especially  describe ""  Their Management  environment are more very _x000D_unrespect , their Altitude ,  and  much more---.Thanks for giving the chance to deliver   the good or bad working with Management in Walmart",2,Former Employee,no longer ,Phx AZ,2/25/20,2020,2,25
Walmart,It's ok I like working here ig it's a job _x000D_It pays good the people are nice store looks decent when both shifts are doing their jobs correctly.   I recommend it to others,3,Current Employee,Overnight Stocker ,"Okmulgee, OK",2/25/20,2020,2,25
Overall decent,Walmart just like any other job had its ups and downs but my biggest issue was lack of communication but other than that the people were great it's a great way to earn easy money especially if you are new to the working environment.,4,Former Employee,Walmart Stocker ,"Watkins Glen, NY",2/25/20,2020,2,25
Great place,I really enjoyed working here. They were very flexible with the days and hours you worked. I am currently trying to get a job back here. Management was great as well.,5,Former Employee,Cashier ,"Cayce, SC",2/25/20,2020,2,25
Good,It was good to work there I wish I have never left the people were so nice and sweet! The customers were nice too and meeting new people was great! And learning new stuff and see how Walmart works was great,5,Former Employee,Customer Service ,"Medford, OR",2/25/20,2020,2,25
Things I do at Walmart,I started off my night by down stacking the freight that came in. It usually takes about 30 mins to an hour depending on how much we get. The hardest part of the job is finishing on time.,4,Current Employee,Frozen/Dairy Associate ,"Albuquerque, NM",2/25/20,2020,2,25
unwritten rules,There was an unwritten standard of unloading 5 carts per shift that I found to be difficult. Otherwise I thought the job was good and I would have maintained employment if I could have.,5,Former Employee,ASSOCIATE ,"Lisbon, CT",2/25/20,2020,2,25
Easy Task,"Great place to work everything electronic, Always busy,Very physical work. 401K was Offered,No Drug test. Fast Paced Work environment employees were helpful in every aspect._x000D_Pay was not too Good.",5,Former Employee,IMS Unloader ,"Lynn Haven, FL",2/25/20,2020,2,25
Benefits are great,"A great company to work for long-term. A fast-paced environment. The culture in the warehouse is phenomenal. I really enjoy working with my managers and fellow associates. The task you are required to do, is fairly simple",5,Current Employee,Receiving Unloader ,"Sanger, TX",2/25/20,2020,2,25
"Not a bad place to work, just poor management.","the managers wanted me to lift the 58 pound bags of dog food on my own, and get 3 pallets done within an hour (each pallet has about 40 bags on it and they are not separated by brand or type, just all thrown on the pallets). Now, yes, it would definitely have been possible if I had more muscle, but being only 95 pounds, they were asking way too much of me every time they put me in the dog food isle.",2,Former Employee,Stocker ,"Lapeer, MI",2/25/20,2020,2,25
Work is annoying,Work you like a slave not and it annoying as i don’t know what sorry 159 characters is the minimum it would me type I really dint got nun to say with 150 characters,2,Former Employee,Sales Associate ,"Fluvanna County, VA",2/25/20,2020,2,25
Good place to work,"Walmart is a good employer with decent benefits. Management is often hampered by the will of the corporate office, but overall good people. Just follow the routines and you'll do fine.",4,Current Employee,Assistant Manager ,"Radford, VA",2/25/20,2020,2,25
Walmart was a great opportunity it’s just not a good fit for me,"I appreciate being given the job at Walmart because it has helped maintain practice within customer service care, i would like to expand my work hours and currently not able to do that within Walmart,",2,Current Employee,Cashier/Customer Service ,"Indiana, PA",2/25/20,2020,2,25
Employees seem to be happy there !,"Seems like a good place to work  was only part time so what the employees feel are not very qualified_x000D_The worst part as host was the reaction you get when you ask customers for their receipt.  As for my position the majority was full time.  If they feel the same as I did, they were not too enthused to provide information.",3,Former Employee,Customer Host ,"Lancaster, CA",2/25/20,2020,2,25
