title,review,rating,status,position,location,date_posted,year,month,day
"good place to work, many breaks","When working at Wal-mart, you get hired as a part time employee. You usually get around 25 hours a week, sometimes more, sometimes less. You get a $1 raise when you finish a series of training but that takes months. You get bonuses when you work a certain amount of hours and when you're done with training. You get a paid 15 minute break after every 2 hours worked and an unpaid 1 hour lunch break after 4 hours worked. Some locations have parties for the employees during the summer and Christmas. However, lots of employees have their hours cut throughout most of the year. Benefits are only for full time employees which are not being hired at the moment.",4,Former Employee,Sales Associate/ Cashier ,"Del Rio, TX",3/26/17,2017,3,26
Wasn't a good fit for me,"Perhaps it was just that particular Walmart or maybe the job wasn't a good fit, but I did learn some lessons about where I was at and where I wanted to go.  In addition, I picked up new skills",2,Former Employee,Pharmacy Technician ,"Horseheads, NY",3/26/17,2017,3,26
Fun place to work,The managers were nice and friendly. If i needed help they would not hesitate to help out. Most people there were easy to get along with and worked hard to get what they wanted,5,Former Employee,sales associate ,"Natchez, MS",3/26/17,2017,3,26
Easy going atmosphere and friendly customers to interact with,"Same problem like with at Best Western, my supervisor had a personal problem with me and made my job hard. She made it hard to want to push harder and work, she just had a personal problem with me I never could figure out.",3,Former Employee,Walmart Stocker ,"Sweetwater, TX",3/26/17,2017,3,26
"Different day, different chores","At first it was a job to pay the bills, but soon it turned into what could only be described as a cow farm and all the cows have gone mad. Either mad customers during the holidays or management never being on the same page. The manager wants one thing, and then two other mangers want another, so you end up doing 5 things, only to turn around and do what the first manager wanted to begin with.",2,Former Employee,Garden Center Cashier ,"Texarkana, TX",3/26/17,2017,3,26
Mediocre job,It is a stable job. It comes with very little excitement and job duties are always consistent and repetitive. Not everyone who works there is very friendly so co working isn't always the best experience.,3,Former Employee,Customer Service Associate ,"Knoxville, TN",3/26/17,2017,3,26
the company as a whole,company need major upgrade with compromising with employees_x000D_company relationship with employees is low_x000D_company needs to improve work security and security of the store,3,Former Employee,Customer Service/Cashier ,"Brunswick, GA",3/26/17,2017,3,26
Its walmart,"Its walmart. It served its purpose as a job by providing a paycheck and a lot of overtime._x000D_The management was not knowledgeable in their duties, they often relied on the people below them to do all of their tasks.",1,Former Employee,Sales Associate ,"West Jordan, UT",3/26/17,2017,3,26
Great environment meet lots of people,Early mornings around 5 am til 2 p.m. hour break. Make a list of missing items and then check for dates bad dates. Then discount or discard items then rotate and stock the meat wall,3,Former Employee,Wal-Mart Associate ,"N Charleston, SC",3/26/17,2017,3,26
Enjoyable workplace,"Acceptable, flexible schedules,_x000D_knowledgeable, well put together training,_x000D_Forceful, understanding management and staffing,_x000D_Safe, friendly environment",3,Former Employee,Sales Associate ,"Madison, AL",3/26/17,2017,3,26
cartpusher,I would clock in and then push in carts into the bay from the outside then unplug the cart muel then start working. til it is time for my lunch break which is an hour.,5,Current Employee,Cart Pusher ,"Goose Creek, SC 29445",3/26/17,2017,3,26
Interesting work environment,Its a good place to work with a fast pace environment. Some days are harder than others and the management team is good also. Its a fun place to work.,4,Former Employee,Frozen/Dairy Associate/Cashier ,"Fond du Lac, WI",3/26/17,2017,3,26
Co workers makes the job,Get in and get out on the floor with electronics or get in and go straight to the back and unload truck .. Management was somewhat cool and wasn't really no hard part and I enjoyed being around the co workers ..,4,Former Employee,Backroom Associate ,"East Norriton, PA",3/26/17,2017,3,26
"Must be tough, flexible & sweet to work at Walmart","The first week working at Walmart was great.  As time progressed people began to reveal their real character.  Again I love working with the public but arguments & petty fights only got worse over the next 7 months by the 7th month July a certain few turned on me.  Anytime management permits workers to argue, nick pick & point fingers on a daily basis eventually the work environment will sour.  Either a person takes on the same trait or suffer the consequences. I don't remember any of those people being my siblings so No I'm like any of them. Alberta was hired to do a job & to be compensated as Alberta. I don't come from that kinda work environment so things didn't go well by the 7th month.",2,Former Employee,Deli Associate ,"South Hill, VA",3/26/17,2017,3,26
Great people to work with,"The employees were always nice and out going.  They were helpful in showing me ""the ropes"" and created a family like atmosphere which was great.  I loved being part of their bakery team and learned many new skill sets which has furthered steered me in the direction of food service.",4,Former Employee,Cashier and Cake Decorator ,"Centennial, CO",3/26/17,2017,3,26
Good coworkers,It would be a great place to work if there wasnt so many management changes. While I was there....there were several new managers coming and going. Thats it.,3,Former Employee,Inventory Specialist ,"Selma, CA",3/26/17,2017,3,26
Valuable Experience,"Really enjoyed my 10 year experience. Had the opportunity to work in 3 major areas:  Operations, Merchandising and Realty Support.  Worked on variety special projects",3,Former Employee,Senior Finance Manager II ,"Bentonville, AR",3/26/17,2017,3,26
Good for stability,Decent work environment and pay. Many people have issues with the attendance policy. other than that it is a pretty good company to work for. they are always giving out many hours.,4,Former Employee,Claims Associate ,"Thomasville, NC",3/26/17,2017,3,26
It was a great job that let me learn new things,Working with the team I was with was very rewarding because I was able to expand my mind to new ideas and actions. The immediate management was amazing and I felt like part of the team which I have never felt at any other job I have had.,4,Former Employee,Cashier/Sales Associate ,"Stanford, KY",3/26/17,2017,3,26
Productive and fun place to work at,"go in and inspect all departments for any noticeable types of fraud, missing items,unlogged items in shrink log, holding all personell accountable for activity",5,Former Employee,Loss Prevention Manager ,"Coral Springs, FL",3/26/17,2017,3,26
Good atmosphere,It was a good job with good chances of company advancement. I liked the people i worked with. I really enjoyed ny customers you get to meet so many different people and maybe even get a few regulars.,4,Former Employee,Customer Service ,"Saint Louis County, MO",3/26/17,2017,3,26
nice workplace,"I enjoyed working with the people in different departments, the work was fun and I learned how to set products. The management was sometimes confused but all were nice and polite.",4,Former Employee,Sporting Goods Sales Associate ,"Newnan, GA 30263",3/26/17,2017,3,26
Organized fun workplace with strong structure to help employees strive fpr greatness.,"Wal-Mart is a place where you can receive a lot of customer service experience no matter where you work in the store. As a cashier I had to greet customers with kindness,scan and bag items for purchase, and maintain a clean working area.",5,Former Employee,WALMART CASHIER ,"West Sacramento, CA",3/26/17,2017,3,26
It was was Walmart,"I started working at Walmart when I had no other choice, met nice people while working in the air conditioning during Arizona summers. Management was OK if you were on their good side. Pay was expected coming from Walmart.",3,Former Employee,Bakery/meat department/produce associate ,"Mesa, AZ 85204",3/26/17,2017,3,26
