title,review,rating,status,position,location,date_posted,year,month,day
Wal-mart is a fun place to work.,The managers are doing all they can to make the day sale successful. They willing to introduce new items to customer and sell it for a profit. Also my co-workers are great by team up and get the assignment done for the day.,2,Current Employee,Delicatessen Clerk ,"Lake Park, FL",1/9/15,2015,1,9
its ok place to work if never worked in retail before,"walmart is a great starting job ,for anyone wanting to start out in retail,the customers are very diverce,i learned how to manage my time better on third shift i love my co workers we all try to help each other get the job done the hardest part of the job is there is never enough people to finish up what needs to get done so at times it gets frustrating ,the most enjoyable part of the job is meeting and interacting with the people i work with and the customers",3,Current Employee,overnite stocker ,"Mishawaka, IN",1/9/15,2015,1,9
Rewarding work environment as well as fun had great pot lucks,"I loved it, seeing and talking to customers making them smile with my smile. At moments it would be over whelming with customers  but nothing i couldn't handle . i learned how to multitask and stay calm at moments, I loved the management they are there when we needed them, as well answered every question i had.",4,Former Employee,Cashier/Customer Service ,"Lompoc, CA",1/8/15,2015,1,8
Hard-working  and fast paced workplace,"Never a dull or boring moment in the Deli at Wal-Mart with activities never-ending; from slicing meat and cheese for customers to cooking food in the fryers and serving customers from the hot or cold bar, each and every day is filled, leaving one with little to no time for boredom. A great deal of patience is needed for servicing the public and handling co-workers, along with a handle of optimizing multitasking abilities.",2,Current Employee,Customer Service ,"Murfreesboro, TN",1/8/15,2015,1,8
your not important,worst place on the planet to work for!!! They have policy that they never follow. Always telling their Associate lies and lies to customers. They never listen to their people and then when problem come about they blame those that try to let them know!! _x000D_The managers will make promise to you and break them._x000D__x000D_Stay away its better to have no job then to work for this place!!!,1,Former Employee,Manager ,"Honesdale, PA",1/8/15,2015,1,8
how i felt,was a nice place to work not to much fun do to not enough help and the hours were not enough,3,Former Employee,Frozen Food Sales Associate ,"North Windham, CT",1/8/15,2015,1,8
Lawn and Garden,Worked around my schedule during high school. Hardest part of the job was dealing with customers,4,Former Employee,Lawn and Garden Associate ,"Madison, IN",1/8/15,2015,1,8
Good Work Environment for employees,"Being in management is kind of ruff there, but as a employee it was a very relaxed and easy going job. Always offered good hours, and always worked with my needs. When I took over a store that was failing before I can I realized how harsh things can be from the upper level.",4,Former Employee,Pharmacy Technician ,"Jefferson City, TN",1/8/15,2015,1,8
Walmart review,Walmart was a great job as well.  I did a lot of store sets and got to travel to different areas.  I was as high as an assistant manager before going to Nielsen.  My people under me loved me.  I really liked this job and loved staying busy.,5,Former Employee,"dept mgr, asst mgr and photo lab mgr ","West Union, Ohio",1/8/15,2015,1,8
NON positive work place,typical day at work was no associates to work the floor leaving morning supervisors with a situation with no help. No positive feed back from store manager.,3,Former Employee,Customer Service Supervisor ,"oxnard, california",1/8/15,2015,1,8
Retail Optical,Knowledgeable friendly professional staff that has guided me through the world of optometry to become an essential part of the vision center team. They taught me how to properly handle sensitive personal information in accordance with State and Federal laws.,4,Current Employee,Non Licensed optical technician ,Jupiter Florida,1/8/15,2015,1,8
na,Typical sales job. Not an exciting job however it kept money in my pocket throughout college. Relaxed schedule and hours for college students.,3,Former Employee,Garden Sales Associate ,"Amarillo, TX",1/8/15,2015,1,8
Fun work place,A typical work day is mostly quiet and easy. Customers are very nice and some can be rude but you learn to keep you calm. The hardest part of the job is just trying not to get rude with customers. The management team is always there to help when needed and try and stay out of the way so you can do your job.,5,Current Employee,Cashier/Customer Service/Customer Service Manager ,"Wentzville, MO",1/8/15,2015,1,8
"Outgoing , Fun","My days at Wal-Mart were usually straight forward. I learned how to move a little faster and still be able to do everything right. Management was well and my co-workers were great team members. The hardest part was lifting super heavy boxes , and the easiest part was placing the merchandise.",3,Former Employee,Stocker/Unloader ,"Roseville, MI",1/8/15,2015,1,8
Pays the Bills,Working here is productive and at many times quite fun. Management has been chaotic and in need of improvement. My team members were the heart of my department and what kept me going. You definitely learn a lot about people here.,4,Former Employee,Unloader/Sorter ,"Frederick, MD",1/8/15,2015,1,8
fun entertaining workplace.,"Walmart was in all a nice, fun and entertaining place to work but also very stressful at times my co workers were okay but we could have used better managers. The hardest part of the job was dealing with very rude customers. The most enjoyable part was learning new things and people and knowing that i helped customers want to shop there again and again.",3,Former Employee,Cashier/Customer Service ,"Huntsville, AL",1/8/15,2015,1,8
Productive,"Learning the meaning of hard work and GREAT customer service. I initially began my employment with Kmart and was able to build on my Customer Service Skills, and work ethics.",4,Former Employee,Dockman ,"El Paso, TX",1/8/15,2015,1,8
Productive and fair enviroment,great place to learn and build as an individual and as a team player as well.,4,Former Employee,Module Operator warehouse labor ,spartanburg SC,1/8/15,2015,1,8
Productive and dependable place to work at,A typical day at Walmart teaches an individual how to communicate  with the public._x000D__x000D_The management staff is sometimes easy to get along with and the store is a very busy place during the day._x000D__x000D_When salary at other companies are non-negotiable this company pays based on experience in different positions.,3,Current Employee,Pharmacy Technician ,"Baker, LA",1/8/15,2015,1,8
Best overall,"There were certain duties you did upon arriving one was to get returns.Put out your freight, Return freight that is overstock. Do certain jobs that management had you scheduled to do. The hardest part was keeping things neat. Most enjoyable was stepping back and admiring my work,",5,Former Employee,Sales Associate/Customer Service ,"Charlotte, NC",1/8/15,2015,1,8
good place to work,good place to work many opportunity for advancement. learn a lot about retail.,5,Former Employee,Stock Associate ,"Valley, AL",1/8/15,2015,1,8
break room tv,I was not happy at this store as I was not in the department I was supposed to be. My co-workers were nice. I just didn't feel as good as the previous store.,4,Former Employee,Sales Associate/Customer Service ,"Wilmington, NC",1/8/15,2015,1,8
horrible place to work,"management sucks, they are rude and very mean while at times thinking nothing of you or how you might feel. since there could be places to advance in your job most people and mangers are very cutthroat to be seen as better then the rest.",2,Former Employee,Cashier ,"Tulare, CA",1/8/15,2015,1,8
Productive Enviorment,I enjoyed working with my extended family. Seeing and interacting with different people was the best part of my day. My co-workers were great at helping me get the hang of things when I first started. The hardest part of the job I would have to say is managing the long lines on the busiest days of operation.,4,Former Employee,Wal-Mart Cashier ,"Atlanta, GA",1/8/15,2015,1,8
very busy,"The managers would hire people for cashier but only a few of them would show up so we would be very busy during most of the days, and this became very frustrating.",2,Former Employee,Cashier ,"Waukegan, IL",1/8/15,2015,1,8
Good place to move up,"Being in charge of others, and make sure they are doing their jobs_x000D_Working hard, and working long hours is not as easy as people may make it seem, it's hard when you have a family._x000D_I never seen any of my managers, unless we had a managers meeting._x000D_There are so many employees to get to know but I am a friendly person and liked everyone._x000D_Helping customers when they had a problem.",5,Former Employee,Cahier/Customer Service ,"Topeka, KS",1/8/15,2015,1,8
Loved working for the most part.,Loved meeting the customers and helping them. Was able to work part of my 10 year in the cell phone department and really enjoyed that. Then I moved to Cheyenne Wyo. and I was put overnights didn't care for that shift.,4,Former Employee,Cashier/Sales ,"Cheyenne, WY",1/8/15,2015,1,8
Product and fun workplace,"A typical work day at this store was fun and productive. The managers were there when you needed them for work situations and also if you needed certain needs for personal life. For example, if you needed a certain day off for a doctor appointment they would make sure you had it off. The co-workers were great to work with and most could get anyone out of a bad mood and make you smile and forget about what is going wrong. The hardest part of the job was when the store was not busy because the pace slowed down a lot. The most enjoyable part was the constant interaction with different people.",5,Former Employee,Inventory Control Specialist ,"Athens, AL",1/8/15,2015,1,8
Suitable Job,"A typical day consisted of Clocking in fixing my cart and proceeding to clean. I learned the many in and out of Wal-Mart and its associates. Management was slow acting but firm. Co-workers were friendly and very informative. The hardest part of my day was the health hazard dealing with other people bodily functions, and the most important part was the attitudes of the customers.",3,Former Employee,Maintenance Associate/Upkeep of stores sales floor ,"Charlotte, NC",1/8/15,2015,1,8
it is a job,when you really need a place to work Walmart will give you a chance.,3,Former Employee,associate ,arlington,1/8/15,2015,1,8
stressful,stressful not enough pay for the people and situations you deal with on a daily basis,1,Current Employee,Cashier ,"Beavercreek, OH",1/8/15,2015,1,8
Decent place to work,It was great to work for Walmart at the beginning but as time went by management changed and so did the atmosphere. I liked being able to learn new jobs so I never got bored.Over all most of the time I liked working there,5,Former Employee,"stocker, sales associate ","Kannapolis, NC",1/8/15,2015,1,8
Great place to interact with customers,A typical day at walmart is getting to know new people and personalities everyday. I learned that being a cashier you have to understand that you are the last person the customer will see so you have to leave a lasting impression. I work with many different coworkers and they are a pleasure to work with. The hardest part of my job is letting a customer know that we are out of stock on products that they request. the most enjoyable part of my job is the customers.,3,Current Employee,Cashier/Customer Service ,"Canton, OH",1/8/15,2015,1,8
productive easy going,I enjoyed working here it was a pretty easy job and great co workers.,5,Former Employee,Unloader/Sorter ,"Clinton, MO",1/8/15,2015,1,8
overall great enviorment great staff,great job to start with excellent management and great security,5,Current Employee,Wal-Mart maintenance ,"San Antonio, TX",1/8/15,2015,1,8
Enjoyable,Picture me was a fun place to work for. Taking picture of kids was the most exciting part to capture memories. Coworkers were always there when you needed them. The only hard thing about the job is not being able to make the babies smile when they are in a bad mood,4,Current Employee,Cashier ,"Columbia, SC",1/8/15,2015,1,8
Enjoyable place to work with public,"Friendly coworkers, rude management. Even time at work and off work to enjoy life. Not enough registers open so got way too busy and stuck feeling. Was not completely taught how to run register so got yelled at by front line manager. I did enjoy seeing several nice and returning customers. Made friends of coworkers.",4,Former Employee,Cashier/Sales Associate ,"Tullahoma, TN",1/8/15,2015,1,8
Fun Work Place,A typical day at work was busy and interesting. You meet all different kinds of people. I've learned to work at a fast but accurate pace. Management was the best and always fair. I enjoyed working with a diverse staff. Nothing was ever really complicated about working at Wal-Mart. and the best part about working there were the discounts.,4,Former Employee,Cashier II/Customer Service Representative ,"Chicago, IL",1/8/15,2015,1,8
Lots of work but felt good to be able to handle it on my own.,"I enjoyed working the dairy department,and at first the refrigerators went down.With a little of hard work I was able to get it back on track.I did have to carry some of the workers which wasn't so bad ,but we were both there to equally work.",4,Former Employee,Stocker ,"Beeville, TX",1/8/15,2015,1,8
Enjoyed the position at the time,"Nice, clean, friendly environment. The management was great and I would definitely recommend the facility to anyone.",5,Former Employee,Cashier ,Oakland TN,1/8/15,2015,1,8
Productive,"Everyday consisted of stocking items on shelf, greeting customers, and assisting them with there needs in the Consumer section of Wal-mart.",5,Former Employee,Grocery Consumer and Stocker ,"Tallahassee, FL",1/8/15,2015,1,8
ok place to work,I guess its a ok place to work I mean it was ok pay could have been much better breaks were great remodels were fun Walmart could have payed better and cared about employes better the customers were ok but u get to meet differet people everyday so that was fun,5,Former Employee,Customer Service Representative ,"Jackson, TN",1/8/15,2015,1,8
Good Atmosphere,Typical work day would consist of going out on the floor checking your shelves depending on what isle you are in or if it is a back stock night of truck night. Check your shelves and see what you have and don't have. Go retrieve your items or pallet whatever needs to be done. Stock your shelves then when done go help others.,4,Former Employee,Overnight Stocker ,"Vincennes, IN",1/8/15,2015,1,8
Busy and fast paced job.,"Very busy and customers are always wanting your attention with questions on certain items. The job is okay, but the management and CSM are very rude and unprofessional. The most enjoyable was working around a lot of people.",2,Former Employee,Electronic Sales Associate ,"Farmington, NM",1/8/15,2015,1,8
Workplace with break room area with tv and refreshments,Assistist cashiers with change and counting registers cashiering working customer service dong online shopping for customer processing orders from online assit cashiers with lunches and breaks stocking and cleaning ive learnend so many task outside the work area I was assigned doing photo lab inventory price changes markdowns the hardest part working short staffed and enjoyable part we work as a team,5,Former Employee,Customer Service Manager ,POMPANO BEACH FLORIDA,1/8/15,2015,1,8
Team,"Mainly worked as a team, maintain your area clean and neat. Around holidays it gets so busy and hectic, have a flexible schedule around holidays because a lot of hours are given.",3,Current Employee,Sales floor associate in apparel department ,"Providence, RI",1/8/15,2015,1,8
Very Fast Pace Job,I liked working in the electronics Department because of my experance with Computers and all types of electronics,3,Former Employee,Sales Associate ,"West Deptford, NJ",1/8/15,2015,1,8
Stable job with chances for advancement,"I enjoyed the fast paced environment and the opportunity to multitask. The work I did at the service desk allowed me to become very skilled at customer service. Unfortunately, the hours required interfered with college.",4,Former Employee,Customer Service Manager ,"Commerce, TX",1/8/15,2015,1,8
Fun workplace with nice co-workers,I worked 3rd shift for Wal-Mart. I was in charge of stocking new materials and organizing shelves. I learned how to multi-task at this job. The management was great at this job. This was one of the best jobs i had in my life. I love the hours and i enjoyed my co-workers. We had good times working with each other. No complaints!!,4,Former Employee,Overnight Stocker ,"Cleveland Heights, OH",1/8/15,2015,1,8
Great co-workers,I worked in the Wireless Center and enjoyed assisting customers with their cellphone needs. I was able to learn a lot not only in the Wireless Center but I also helped in the Photo Lab and Electronics. The pay could have been a lot better and benefits offered. I really enjoyed who I worked with at this company.,3,Former Employee,Customer Service Sales Rep ,"Murfreesboro, TN",1/8/15,2015,1,8
Walmart Great!,"Excellent interactive environment, love the fast pace and friendly team",5,Former Employee,"Customer Service Associate, Sales Associate ","Duluth, GA",1/8/15,2015,1,8
very simple great work enviorment,I learned to verify orders for shipment and how to load trailers properly. Management was very helpful and informative. Co-workers where helpful and supporting,4,Former Employee,Warehouse Associate ,"Bolingbrook, IL",1/8/15,2015,1,8
