title,review,rating,status,position,location,date_posted,year,month,day
was fun,"work here!!!!! they give great hours and pay well, everyone is like a family and management are they sweetest people ever. the best part of the job was making like long friends",5,Former Employee,Cahier/Customer Service ,"Winder, GA",3/15/21,2021,3,15
It was job,I was young it was my first job. I was young  and they worked around my school schedule. I was OK would I work there now no not unless they pay me more. ,4,Former Employee,Stocker ,"Grand Blanc, MI",3/15/21,2021,3,15
Productive ,#NAME?,3,Former Employee,Cashier/Sales Associate ,Massachusetts,3/15/21,2021,3,15
The bad is the compensation. ,walmart is a hard place to work for compensation you receive. The bonuses are nice. If you work there for a couple months and do a good job they will become lenient and you can do as you please as long as you get your job done. ,3,Former Employee,Personal Shopper ,"Greenwood, SC",3/15/21,2021,3,15
I dont take joy in this job,Again with this location its all about management and who they like and don't like. If they don't want you there then they will make sure you won't be there.,2,Former Employee,Online Grocery Pickup ,"Paris, TX",3/15/21,2021,3,15
Garbage place to work.,#NAME?,1,Former Employee,Freight Handler/Loader/Unloader ,"Williamsburg, VA",3/15/21,2021,3,15
Absolutely Awful. ,"Working here should be your last option to pay bills, They won’t work with you, They do NOT care about your personal life or if your sick or not, The managers are on a power trip of some sort, completely disorganized, if you are having trouble don’t bother asking for help you won’t get any, understaffed to the point that cap 1 had 5 people instead of the 20 we actually need, constantly getting switched around and pulled, ZERO sense of time management. This was absolutely the worst place i have ever worked and would HIGHLY recommend you AVOID this job unless you have no choice. If you do apply, GOOD LUCK. ",1,Former Employee,Cap Team 1 Associate ,"Kokomo, IN",3/15/21,2021,3,15
Easy to work for.,"A lot of people may disagree with me on this but I found it really easy to work for Walmart... Grant it has been over 4 years since I left so maybe it has changed, but as long as you do as your told, don't break any rules, and are niceish to customers management leaves you alone. ",5,Former Employee,Cashier ,"Altus, OK",3/15/21,2021,3,15
Bad Management/ Low Morale,"It is sad to say that the night management are not very professional.  The staff at night has been minimized and the work for those who are there has increased by 110 percent.  You don't expect recognition when you do a good job, but it is sad that as soon as you fall a little behind because you were given work that before two individuals had to complete at night and now one person has to do you are threaten with being fired.  The employees enter with a positive attitude but by the end of their shift they are frustrated and at times scared and anxious because you have an individual in charge that is rude, impolite, unprofessional, and worst of all the laziest person there.  What happened to those days when everyone worked together, your bosses came  by and said good job, and there was good morale.  Now it feels like they are trying to get rid of staff that has been there for a while to hire part time staff with less pay.  It is just so sad.",2,Former Employee,Customer Service Representative ,"Fort Myers, FL",3/15/21,2021,3,15
Not fun nor caring place to work at for first job.,8 hrs 5 days a week. Literally learned nothing.managers are hard to get along with and hard to find. The workplace is always a mess.The hardest part of the job is training. None of the managers show you what your doing they just expect it from you. There is not a most enjoyable part when working at walmart.,1,Former Employee,O/N Stocker ,"Fort Wright, KY",3/15/21,2021,3,15
