title,review,rating,status,position,location,date_posted,year,month,day
Meh,Great place for college or high school students just trying to get experience and a flexible schedule for the most part. Management however could greatly be improved.,3,Former Employee,Associate ,"Orange, TX",4/30/23,2023,4,30
Issues,Management repeatedly tells you the same thing over and over and do nothing to fix the issues that they keep talking about.  They don't care about your mental or physical health.  Benefits are great...but not worth the toll this place takes on you,3,Former Employee,Cap 2 Associate ,"Canton, OH",4/30/23,2023,4,30
If I could give negative stars I would ,"I initially was excited to work at Walmart. After starting my job i quickly learned that the team leads didn’t care what was happening around them and if you complained to someone higher up they would treat you worse. The job is stressful and your coworkers can and will make it worse, they will talk behind your back and pretend to like you to your face. ",1,Current Employee,Front End Associate ,"Michigan City, IN",4/30/23,2023,4,30
Please do not use working at Walmart for a long term job. ,"What is the best part of working at the company?Well if you enjoy working your you know what off and getting no raises and being legitimately sick and getting points for being sick because they do not accept doctors letters, oh and getting a injured on the job and having to argue to get an injury report filed. Not that it matters because they will fight toorth and nail not yo pay your claim. What is the most stressful part about working at the company?No respect, no raises, a lot of customers are disrespectfulWhat is the work environment and culture like at the company?It is okay plenty of culture. Not much else to sayWhat is a typical day like for you at the company?Stressful and you typicaly go home stressed as well. Would write this same review at any point in the job",1,Former Employee,Opg ,"Plymouth, IN",4/30/23,2023,4,30
No,"Too physically demanding, no body can make up their mind and they want you to be a an associate but take on manager responsibilities without the pay for it. Hard to climb up the management ladder no matter how hard you work",3,Former Employee,Produce/meat associate ,"San Angelo, TX",4/30/23,2023,4,30
toxic management and judgement ,while walmart was fun at first the management began to rely on me for a lot it’s stressful and then i get told i don’t do enough i’m sure it’s not all like this but always be careful who you trust in walmart ,2,Current Employee,TLE Service Writer ,automotive ,4/30/23,2023,4,30
Horrible and disgusting ,The managers and personnel are horrible do not work here! Dont say u werent warned. I will never work for walmart ever again store 1219 lem turner 🗑🗑🗑,1,Former Employee,Stocker ,"Jacksonville, FL",4/30/23,2023,4,30
Too much work for some worker and not enough pay,What is the best part of working at the company?Greeting and helping customers to make their shopping go smoothly.What is the most stressful part about working at the company?Most of the time there is no team effort and the days that you have to work. Certain workers have good opportunity and the hours they want while the others have to keep taking whatever hours they are given.What is the work environment and culture like at the company?It is definitely not what I expected. I really thought we would all work as a team and be treated the sameWhat is a typical day like for you at the company?Very stressful and tiring. Some workers work very hard while others do not much of nothing when they are even visible on the job.,3,Current Employee,Customer Service Rep ,"Thibodaux, LA",4/30/23,2023,4,30
Typical of Walmart,"It is what it is. Horrible management, underpaid employees. The few benefits are greatly outweighed by the horribly toxic work environment. Do not recommend ",1,Former Employee,Cashier/Customer Service ,"D'Iberville, MS",4/30/23,2023,4,30
very average place to work,the job isn't difficult but you are compensated accordingly. as long as you don't mind putting in some amount of effort you'll be ahead of the curve compared to the rest of the employees.,3,Current Employee,Ecommerce Personal Shopper ,"Auburndale, FL",4/30/23,2023,4,30
You have to be productive and active and move kinda fast when helping the customers and you have to know what you are doing ,What is the best part of working at the company?It have its ups and down like any other job I be there 23 yr next week What is the most stressful part about working at the company?Sometimes it’s the customers or the associates What is the work environment and culture like at the company?All types of culture that comes inWhat is a typical day like for you at the company?It depends can’t really say sometimes maybe a Monday or a weekend that’s when it kinda be busy,3,Current Employee, Sales floor association  ,"Dallas, TX",4/30/23,2023,4,30
Ho humm,"It’s a walmart what do you expect? But it’s a job I suppose and it pays the bills, lots of favoritism and overworking people people are lazy here not a good time",2,Current Employee,Cap 2 Associate ,"Watertown, WI",4/30/23,2023,4,30
Low pay,Low pay and regional management micro manages and pops in on you just to stop you from working and wastes your time. This is a position for a tech just starting out.,3,Current Employee,Pharmacy Technician ,"San Diego, CA",4/30/23,2023,4,30
Okay,"Was a good place to work with flexible hours. However, management can use some improvement and a lot of favoritism can be shown. Good benefits but pay could be better.",3,Former Employee,Pharmacy Technician ,"Columbia, SC",4/30/23,2023,4,30
Abysmal management decent pay and depressed workers,In my time here the pressure that upper management puts on it's TL and associates is downright shameful.Mental breakdowns are common and we are perpetually understaffed.,1,Current Employee,Fresh Associate ,"Corydon, IN",4/30/23,2023,4,30
Fun workplace and easy going !  ,"I loved it , it’s pretty easy you can listen to ur headphones everyone pretty much leaves you alone !! Just go to work and get your work done the pay is pretty good the company is great experience to have ",5,Former Employee,Stocker ,"Kingsport, TN",4/30/23,2023,4,30
.. they have favoritism and doesn’t accompany your school schedule. Definitely not flexible ,they have favoritism and doesn’t accompany your school schedule. Definitely not flexible as flexible as they claim to be. Didn’t have a valid orientation either.,1,Former Employee,Online Grocery Pickup ,"The Villages, FL",4/30/23,2023,4,30
Great work place,Can be tough when it’s late and crowds can get pretty packed but you get to to do all your work while the concerts are going on. Overall great place to work.,5,Current Employee,Facility Staff ,"Rogers, AR",4/30/23,2023,4,30
Decent place,"Work is slow, management doesn’t really inform people much. But work is easy, of course a lot of twisting and turning. Heavy lifting most times. Feels like you in high school most times. ",3,Former Employee,Packer ,3215 commerce center blvd,4/30/23,2023,4,30
Overall it’s not a great company to work for.,What is the best part of working at the company?The customers and some co-workersWhat is the most stressful part about working at the company?The coaches and team leads are rude disrespectful and demanding while they do nothingWhat is the work environment and culture like at the company?Unfortunate and at times unbelievable regional puts to much pressure on the store managers What is a typical day like for you at the company?You never know how you’ll be treated or belittled until you work an hour. Your constantly lied to and H.R. makes grown men cry,2,Former Employee,Team Lead ,"Reno, NV",4/30/23,2023,4,30
Management sucks,Managers are never around unless we were having people come to check store. Very little opportunity to move up the ladder . No good direction and no one to help you if you need it ,1,Former Employee,Sales Associate ,Morgantown pa,4/30/23,2023,4,30
Walmart job position,"I want to work the stock crew, I think it would be great, honest work. Stocking shelves and making them neat and tidy is a good skill and people should take pride in their work.",3,Former Employee,None ,"New York, NY",4/30/23,2023,4,30
Bad Management,It seems that the mangers have almost no care or empathy for any of their employees and will constantly put their own failures on their team. Bad communication as well.,3,Former Employee,Sales Associate ,"Benton, IL",4/30/23,2023,4,30
Not a fun place to work ,"Management was very annoying, I couldn’t stand the employees I worked with. Everyone was very lazy and the work they didn’t complete would be my responsibility. ",5,Former Employee,Cahier/Customer Service ,North Carolina,4/30/23,2023,4,30
Work hard as you can and get absolutely nothing out of it. ,"You give 110% and get your tiny Pay in return, no recognition, no loyalty, nothing! Your fellow associates appreciate you but they work as hard and get nothing either so they can relate. Management sits in an office laughing and joking and EATING with Eachother , while watching you struggle to open a door or when you need help. They don’t help with anything! When you get sick you get fired! Even with Dr notes… but thank goodness they don’t control the unemployment compensation!",2,Former Employee,ICS Associate ,"Geneseo, NY",4/30/23,2023,4,30
Employees needs more money ,Needs to increase everyone with the 15 dollars pay. Not just the new hires because people that had been there over 4 years and not making 13 dollars a hour.,1,Former Employee,Cashier/Sales Associate ,"Arlington, TX",4/30/23,2023,4,30
It's a coin toss,"I was lucky to have super understanding and nice coworkers to help me get through the day. If it weren't for them I would have been dead. Management can be a major pain, most being inconsiderate of the environment and situation of the store and the people. I didn't even get a full reason for being fired",4,Former Employee,Wal-Mart Associate ,"Victoria, TX",4/30/23,2023,4,30
Running stay away from this type of culture ,What is the best part of working at the company?No work life balance.  Lack of help.  Poor structure.  What is the most stressful part about working at the company?Lack of help.  Lack of support.Work life balance is poor.What is the work environment and culture like at the company?Bad culture. Lack of respect..What is a typical day like for you at the company?You are expected to be in two place at the same time.,1,Former Employee,Team Leader ,New Jersey,4/30/23,2023,4,30
Great diversity no chance for advancement,This was the first job I had gotten after graduating from college. The management is not interested in helping you advance. Sometimes the job can be boring. Even though there is great diversity most of the workers do not speak English as they are Latinos Haitians or Caribbean’s so Spanish and creole are more spoken than English they are not well staffed so when a customer needs something open I have to call someone to open a case for them.,2,Current Employee,Stocker ,"Fort Myers, FL",4/30/23,2023,4,30
Night shift,"Couldn't imagine working this job during the day with customers, it was hard enough dealing with the highschool culture of your fellow associates and managers.",3,Former Employee,Maintenance ,"Portsmouth, NH",4/30/23,2023,4,30
Nice coworkers ,"The coworkers are nice and very helpful when you need assistance with a customer. It can be stressful, especially when there’s a rush of customers. But just breathe and don’t pay mind to the rude and impatient customers. ",4,Current Employee,Front end checkout  ,"Tewksbury, MA",4/30/23,2023,4,30
It was a job.,"Walmart itself is a decent job, the managers are what the problem is.   They don't listen if you need off it is a headache.  A lot of the people there are single parents and they need to realize that.",3,Former Employee,Department Manager ,"Robertsdale, AL",4/30/23,2023,4,30
"Fun, great pay,room for advancement ","I loved working for walmart, except I missed time-they will work with you but you have to work on it too. Everyone got along, like a family and excellent teamwork, management always let everyone know that they are doing a great job 👏 ",5,Former Employee,Walmart Stocker/remodel ,"Luray, VA",4/30/23,2023,4,30
Fun place to work at / managers are iffy,It's a great job easy pay for somebody that's trying to earn a decent salary. However the managers can be iffy sometimes depending on who you talk to.,4,Current Employee,Asset Protection Associate ,Marrero Louisiana,4/30/23,2023,4,30
