title,review,rating,status,position,location,date_posted,year,month,day
Fun workplace,Walmart is a good place to work if you need a job and don't want to be out getting into any trouble. Working at Walmart will give you a lot of job opportunity when trying to further your career.,3,Current Employee,Stocker ,"Southport, NC",6/28/17,2017,6,28
Fun more slow paced,Walmart was probably the best work place ive been to. Everyone there was like family that made sure no matter what there employees were well taken care of.,5,Former Employee,Night Stocker ,"Scottsburg, IN",6/28/17,2017,6,28
recieved alot of new expieriences with different tasks and jobs,my experience at this position was very educational and fun at times. Very hectic at times but gained a lot of experience in various areas from learning how to properly use and correctly dealing and finishing tasks from giving fishing and hunting license's to stocking and remodeling mods.,4,Former Employee,Sporting Goods Sales Associate ,"Garden City, SC",6/28/17,2017,6,28
Productive work place,Great experience with customer service and team work. Always busy and in high demand of workers and help. This job gave me a lot of balance between my life and school. Such a joy working there,4,Former Employee,Recieving Associate ,"Houston, TX",6/28/17,2017,6,28
Walmart is a good company to work for,i learned how to work in a fast paced environment in safe an productive way. Walmart makes you feel like part of a family. There pay is very competitive.,5,Former Employee,Staple Stock Recieving ,"Mount Crawford, VA",6/28/17,2017,6,28
Competitive work environment. Friendly management and always willing to help out,I liked working here but I only got about 30 to 38 hours a week with no benefits or vacation. Very friendly management and co-workers. Didn't see much advancement in the company,4,Former Employee,Inventory Control System Associate ,"Herrin, IL 62948",6/28/17,2017,6,28
Not all its cracked up to be,"In the various stores I've worked in, management never seems to work WITH you to ensure a happy environment. They would rather set unrealistic expectations and then write you up for inability to achieve said goals.",3,Former Employee,Bakery Associate ,"Marquette, MI",6/28/17,2017,6,28
stressful,"When I worked at Wal-Mart, the company was trying to figure out how few employees it could have and still be able to run. It was a very stressful experience that I would not recommend to anyone else.",2,Former Employee,"Sales Associate, Salesperson, Sales Worker ","Indiana, PA",6/28/17,2017,6,28
not to bad,It was an alright place to work. Management was pretty ridiculous but i like the people i worked with so that was a plus made some friends along the way,4,Former Employee,Truck Unloader/Stocker ,"Mount Vernon, IL",6/28/17,2017,6,28
"Fun work place, Great environment",most enjoyable part of the job is the friendships you create. Management is fully flexible with your personal life and work scheduling. Typical work day isn't too crazy but could be challenging at times but very manageable.,5,Former Employee,Cart Pusher ,"La Habra, CA",6/28/17,2017,6,28
busy and no advancement,"Although i did everything i possibly could to prove i was of management quality .I was never given the opportunity. There was always another reason as to why another employee was more qualified . it did not matter that i had more knowledge of the area of the store or not . I had to on multiple occasions train my manager,",3,Former Employee,Cashier ,"Lecanto, FL",6/28/17,2017,6,28
Fun and competive,"It was very different from my other job, this place was more hands on as far as dealing with customers and making sure that the merchandise was safe, especially during the holiday season.",4,Former Employee,Electronics Sales Associate ,"San Leandro, CA",6/28/17,2017,6,28
Good moderate work place,"The management need a lot of work, but the workers are good people. It does good anywhere to not get caught up in work drama but especially at Walmart.",4,Former Employee,Cake Decorator ,"Cordova, TN",6/28/17,2017,6,28
This job has taught me alot of things that can benefit me with other jobs.,"My typical day at work starts with me checking my task and preparing for what my task wants me to do that day.Then I start on that task and through out the day help customers find different items as well. I love helping people and it's very interesting because I meet different cultures and backgrounds each and everyday. There is nothing difficult about the days that I work at this company. It's pretty simple, check my task , complete the task and help customers while doing so. I have no problems with management.",3,Current Employee,Overnight Stocker ,"Shreveport, LA",6/28/17,2017,6,28
Miss my home,First job right out of high school......I loved it!!!!!!!_x000D__x000D_Miss everything about blockbuster. I miss my coworkers & most of all the great customers! I would love to go back in time to just spend another moment with the company!,5,Former Employee,Cashier/Sales Associate ,"Oceanside, CA",6/28/17,2017,6,28
"Great Associates, Great Customers, Decent Management, No Room to Grow","Our store was tiny, so there was very few opportunities for advancement. I loved my fellow co-workers, and most of management was decent, but after nine years without any chance for a supervisor position, it was time to move on.",3,Former Employee,Customer Service Manager/Photo Center Specialist ,"Falmouth, ME",6/28/17,2017,6,28
