title,review,rating,status,position,location,date_posted,year,month,day
Negligence of the Coaches and Team leads ,They base it all off how long you've been there and ignore any input from new hires. My team lead is a bad person and they don't listen to me about it,2,Current Employee,Wal-Mart Associate ,"Somersworth, NH",1/4/23,2023,1,4
NOthing is good ,There are no true benefits to working for walmart except that they might have a good dental plan at the moment. But they will probably more than likely take that away if they had the opportunity! ,1,Current Employee,Wal-Mart Associate ,"Spanish Fork, UT",1/4/23,2023,1,4
Not bad not good,Honestly not a bad place to work as long as you’re flexible and don’t mind occasionally getting talked down to lol. plenty of time off and nice benefits tho.,3,Current Employee,Picker/Packer ,"South Jordan, UT",1/4/23,2023,1,4
"Regional Store, Look Out!",In general Walmart stores have slowly begun going down hill with how managers are treated and how certain managers treat their subordinates. Bainbridge however is a different animal. You’ve got about 12 different “bosses” and then look out for the email at 5pm on a Friday that the corporate jet is headed this way…They genuinely used to care about their people and it’s really all about the money anymore. ,3,Former Employee,Co-Manager/Store Manager ,"Bainbridge, OH",1/4/23,2023,1,4
Good company to work for. Good benefits an u can grow an become a Manager supervisor ,Bad part. Always work on a holiday. Only day off is New Years. They whole year. I dealt with it because I wanted to work. I will do it again. I would Love to start back working at Walmart DC. We have to walk from DA an take 11 minutes out of 30 to walk. Why can't we clock out Going out door.,4,Former Employee,Unloader/Loader/Sorter Assembly Lines ,"Shelby, NC",1/4/23,2023,1,4
Fun place to work ,"Hours are reasonable weekends are a must, the hours can vary work environment and management are important I had great management so it made the job pretty easy ",4,Former Employee,Cashier/Customer Service ,Alabama,1/4/23,2023,1,4
1 star,"What is the best part of working at the company?You get to see lazy people get all the credit and hours. What is the most stressful part about working at the company?They praise lazy people What is the work environment and culture like at the company?Horrible, don't waste your time.  It's a joke.What is a typical day like for you at the company?Drama, drama, and lazy people get away with everything.",1,Former Employee,OGP Associate ,"Waterloo, IL",1/4/23,2023,1,4
3 stars,"What is the best part of working at the company?The people I worked with made my time with the company enjoyable. What is the most stressful part about working at the company?When management gives you multiple tasks to complete within a certain time, on top of helping other associates pick up their slack. What is the work environment and culture like at the company?Great if you have management that is willing to put in the work to get tasks done and lead by example instead if barking orders and micromanaging every aspect of what where doing. What is a typical day like for you at the company?Daily meetings before starting our shift and explaining what needs prioritized, what's to be expected at the end of the day.",3,Former Employee,Overnight Stocker ,Oregon,1/4/23,2023,1,4
1 star,What is the best part of working at the company?The people you get to work with.What is the most stressful part about working at the company?The management team doesn’t support or respect the employees. Some customers are very rude.What is a typical day like for you at the company?Extremely busy because they are always short staffed.,1,Former Employee,Pharmacy Technician ,"Baraboo, WI",1/4/23,2023,1,4
Work and family runs together ,"Best place i have worked and working so far.  Fun to learn and enjoy everyday. Learnt a new skill of decorating cakes here and a national awatd winner, Associate of the month too.",5,Current Employee,Cake Decorator ,"Alpharetta, GA",1/4/23,2023,1,4
2 stars,"What is the best part of working at the company?The best part about working at Walmart was the availability to work in a plethora of different departments.What is the most stressful part about working at the company?In my experience, my location was severely understaffed making my coworkers and I cover sections of the department that weren't our responsibility (ie. fitting room, returns, etc.) Furthermore, the customer interactions were stressful specifically when they're agitated due to lack of staffing.What is the work environment and culture like at the company?The diversity is nice, however in my specific location there were certain situations where discrimination existed toward people of color + those who aren't fluent in english.What is a typical day like for you at the company?A typical day for me in my department is to do 4-5 rolling racks, zone the entire department, and help cover my coworkers areas when they aren't there.",2,Current Employee,Retail Sales Associate ,"Salem, NH",1/4/23,2023,1,4
It's a job,I can only speak on my experience in the front end. There's lots of young people (under 21). Management is a joke. Lots of disgusting and ghetto customers. Their points system for attendance is unreasonable. You get a 10% associate discount card after the probationary period. Little to no other useful benefits. This is not a career.,1,Former Employee,Front End Checkout Team Associate ,"Irvine, CA",1/4/23,2023,1,4
Organized,Productive work place. Many items were sold at the store. This Walmart was a super center. This Walmart included a nail salon and eatery. This Walmart is located in a good plaza.,4,Former Employee,Cashier ,"Horseheads, NY",1/4/23,2023,1,4
1 star,"What is the best part of working at the company?Some of the coworkersWhat is the most stressful part about working at the company?Literally everything about the jobWhat is the work environment and culture like at the company?Toxic and lots of dramaWhat is a typical day like for you at the company?Get to work, go to the 10 pm meeting, and then start throwing your freight",1,Former Employee,Overnight Stock Associate ,"Vernal, UT",1/4/23,2023,1,4
"Job Was Amazing, Helped To Reduce Anxiety.","As a stocker at Walmart, I learned many skills that will help me through other businesses, such as learning to use a forklift, learning how to work (this was my first job), and learning how to work with people better. Before coming to Walmart I had very bad social anxiety, after a few months of working at Walmart, I can say I feel much more comfortable talking with people than I did before getting the job. This job is great for someone looking for a relaxed side job, or for someone who has never worked before and really doesn't know where to start.",4,Former Employee,Stocking Associate ,Pennsylvania,1/4/23,2023,1,4
Productive and fun,The first time you have a chance at the top is the second one you get a free pass and you can go on your way back and then go to your car to go back to your house.,5,Current Employee,Welder/Fabricator ,Wisconsin,1/4/23,2023,1,4
1 star,What is the best part of working at the company?Worst company ever!What is the most stressful part about working at the company?No team work!What is the work environment and culture like at the company?Low morale!,1,Current Employee,Personal Shopper ,"Front Royal, VA",1/4/23,2023,1,4
Not Too Stressful/Horrible Managers,"Usually had a good time at work aside form the occassional angry customer, but that is to be expected. It helps to understand your abilities and know who to ask when confused. My only real issue was the managers. My team leads were fantastic, but my Coaches and HR never did their job and lacked integrity. I personally informed management of a week I would be out of town. I was repeatedly told over and over that I was allowed to take time off and that the system would take time to update. Ultimately, the system bever changed and I was given points for no-call no-show. I received many points and risked being fired. I talked to the HR about the issue and my Coach, but was denied any solution. I quit shortly after.",3,Former Employee,Cashier/Sales Associate ,"Conway, AR",1/4/23,2023,1,4
Good pay ,It was a decent job. Great pay good coworkers. Management is as expected at a Walmart. Great benefits and pto builds up fast but don’t expect to be able to use it without getting denied. ,4,Former Employee,Unloader/Stocker ,"Omaha, NE",1/4/23,2023,1,4
"Easy work, management needs to step up","I worked at a Neighborhood Market Walmart. For the most part, the job was easy and I got used to walking a lot fast. It wasn’t all that difficult to reach your numbers but it did get tedious when you would constantly need to find your managers to ask for missing items. The managers were experienced but were always tired and honestly didn’t seem like they cared. I heard many times “You’ve been here for a month already, you should know where everything in the store is”. My initial training for the position lasted 30 minutes and me and the other new hires did not get a tour of the store. The environment was very similar to high school, obvious favoritism and hierarchies. Even if you literally talk to nobody, your coworkers will find a way to make up something about you. It’s Walmart, did you expect much?",2,Former Employee,Personal Shopper ,"San Diego, CA",1/4/23,2023,1,4
Productive ,"You always have more things to but away, photo center was a disaster. Don’t pay you enough. But working with electronics is fun so it wasn’t all that bad.",3,Current Employee,Electronic Associate ,"Kansas City, MO",1/4/23,2023,1,4
The truth about walmart ,Not enough pay but the people do like to work together. I wish they offered a better to the workers and appreciated us more. The environment is decent and could honestly be better ,5,Current Employee,Apparel Associate ,"Austin, MN",1/4/23,2023,1,4
Awesome,Really great Managers and team members all of them are friendly and are there if you need help. Great at helping me arrange my schedule the way it would help benefit my time at home. Would definitely work there again. ,5,Former Employee,Remodel Associate ,"Dunnellon, FL",1/4/23,2023,1,4
"Alright job, bad superiors","Honestly the job itself wasn't too bad. Most of the time I could just put an earbud in and work at my own pace. The big problems were the weather and bosses. You're expected to do the same amount of work no matter how cold, hot or how hard it's raining. The bosses were also really annoying and they set super unrealistic expectations like not being able to wear hoodies even though it was 30 degrees outside where I was working and we had to find our team leader every time we wanted to take a break and confirm it with all my teammates. The coaches and team leaders were very obnoxious and grumpy all the time and really I felt like there entire job was to yell at you if you stopped working for 30 seconds to catch a breather.",3,Former Employee,Cart Pusher ,"Warsaw, IN",1/4/23,2023,1,4
Backbreaking Work at times,I'll be completely honest and say that we are still quite underpaid for all the hard work we do. And Management will just put any moron they can find to be the TL. It's mostly the younger workers who are always distracted that make it hard but I'll be honest when I say the older folks are at fault as well when. They say it will kill then to do too much smh.,2,Former Employee,Online Grocery Pickup ,"Pampa, TX",1/4/23,2023,1,4
Mediocre place to work,"You help customers daily, some days can get hectic. Management varies wildly. Pay is ok for someone who is doing it part time while having other things going on during the day (school, other job, etc..). ",2,Former Employee,Electronics Sales Associate ,North Carolina,1/4/23,2023,1,4
Is what you make of it,"Requires long hours and dedication. Experience is what you make of it. Competitive pay. High expectations. Environment is based on store manager, also sales volume dependent.",4,Current Employee,Coach ,Georgia,1/4/23,2023,1,4
Productive fun work place,"Great overall experience , good staff good work associates. Straight forward tasks and jobs, well organized . Loved the work environment and helping others",5,Former Employee,Apparel Associate ,"Youngstown, OH",1/4/23,2023,1,4
Stressful but great benefits,"And competitive pay. You won’t find many places that pay as good and treat you as well. But do be advised if you are working front end in any form of customer service, you will deal with rotten, abusive people.         ",5,Former Employee,Front End checkout TA ,"Hickory, NC",1/4/23,2023,1,4
To cold people stayed sick,Enjoyed my job as cashier just to cold got sick flu twice tried to return to work locked out of system couldn't reach personal manager guess  I was terminated to many sick days ,4,Former Employee,Wal-Mart Associate ,"Brownsville, TN",1/4/23,2023,1,4
Ok,"Good place to work overall. Produce and Meat department has good hours. Seems like a high turnover for associates which makes some days harder due to polroduct volume. Some leads are nicer than others. They do make you work sick however, flu and/or covid.",3,Current Employee,Associate ,"Brenham, TX",1/4/23,2023,1,4
"Better pay than most, Long hours and Favoritism","Walmart offers good benefits and $13-14/hr base pay depending on what shift you work. The work itself is not hard but expect that you will always on your feet and that the hours will be long, especially if you work overnight. Some of Management is good, but not the majority. Many members of Management have bad attitudes, take more than their fair share of Coffee/smoke breaks, and there is a lot of favoritism at play across all shifts. Also expect that as a group you will almost always be told you're not doing enough and that different Shifts/Departments will usually be pin against each other in a blame game of who did what. There are also a lot of workers who are only there because they have been there 5-10 years and won't be corrected or fired despite working slow or just not ever following protocol. If you are a quick and hard worker, you will most likely get close to management but also most members of management will most likely abuse that and will throw you under the bus the moment you burn out. Management also loves to tell good workers that they will promote them to get them to do more for them when the chance is actually very slim and based more on if they like you more than xyz or not.Training is partly on a computer and partly tossed in with a buddy for anywhere from a day or two to a week if your lucky and then figure the rest of it out on your own. All that considered it is still one of better jobs to have around the area.",3,Former Employee,Overnight Stocking Associate ,"Live Oak, FL",1/4/23,2023,1,4
They don't care much for their associates ,"I don't really have anything positive to say about this company.   My present store doesn't help me with my schedule due to short staffed.  Since they are short staffed and need closers, not able to change my schedule.   They don't care about the workers...",2,Current Employee,Cashier/Customer Service ,"Cocoa, FL",1/4/23,2023,1,4
It's like any retail store job,"In my experience, if you do your job well there's plenty of opportunity to grow. Is it a job I see myself growing into? Not really, as I matured I started valuing family time and a set schedule. They do not give you ANY holiday off, especially if you are a supervisor or higher. They never approved a whole week of vacation but that was in OGP. Overall, I think it's ok, but I recommend it for younger people. ",3,Former Employee,Supervisor ,"Gibsonton, FL",1/4/23,2023,1,4
2 stars,What is the best part of working at the company?Pay and friendly customers and 10% discount card What is the most stressful part about working at the company?Dealing with unprofessional management and constant shift change at last minute no 24 hr notice What is the work environment and culture like at the company?The work environment is ok most of the time the culture needs to be more up beat ex: we are a team work together learn and help each other What is a typical day like for you at the company?Busy busy busy busy from ringing up customers to cleaning when things are slow,2,Former Employee,Cashier ,Virginia ,1/4/23,2023,1,4
Bad,Bad bad bad bad  . This job is so bad they don’t care about you at all your just another number they drain you if you mental health and treat you like bad ,1,Former Employee,Cap Team 2 Associate ,"Hutchinson, KS",1/4/23,2023,1,4
employee benefits and we'll being ,great place to work .at walmart all positions perform with high accountability which ensures equal participation.no one  under performs and the agenda moves forward.,5,Former Employee,Overnight Maintenance ,"Sacramento, CA",1/4/23,2023,1,4
It's Walmart...,"It's Walmart... you get what you see. Most employees are disrespected, under-appreciated, and treated like robots. You get the usual dramas with rude employees and rude customers. They took weekends away. You HAVE to work weekends to be guaranteed full time. So much for work-life balance. Overnight associates have to go in on holiday nights with no holiday pay. They took away our profit sharing for a small raise.",1,Current Employee,Overnight Stocker ,"Centralia, IL",1/4/23,2023,1,4
Short term work ,Good place to work if you are just looking for a job that doesn’t require you to do much. I wouldn’t recommend working here if you don’t like dealing with ,2,Former Employee,Cashier ,"Charlotte, NC",1/4/23,2023,1,4
There are plenty of opportunities for advancement.,"Personally, I loved my time working at Walmart. I enjoyed where I worked and felt welcomed by my fellow associates. Unfortunately, however, our store was just extremely understaffed and management was not the best, which made it no better. There would often times be team leads and regular associates that had to try to run the store because management was lazy and would often leave early. The store also usually had no AP and was extremely unorganized. There is also a lot of drama, but as long as you come in and do your job, you shouldn’t have anything to worry about!",4,Former Employee,Team Associate ,"Barnwell, SC",1/4/23,2023,1,4
4 stars,What is the best part of working at the company?You get to meet some wonderful people and there's never a dull moment. What is the most stressful part about working at the company?Management that is reactive not proactive and rude customers What is the work environment and culture like at the company?Its a very diverse company but the stores are commonly short staff and associates are expected to make up for it.What is a typical day like for you at the company?Non stop customer service from the time you pull into the parking lot,4,Former Employee,Front End Manager ,"Starkville, MS",1/4/23,2023,1,4
1 star,What is the best part of working at the company?Patient interaction for the most part.What is the most stressful part about working at the company?There is no structure or organization.What is the work environment and culture like at the company?Understaffed and stress filled.What is a typical day like for you at the company?You will work in an understaffed and under appreciated environment.,1,Current Employee,Certified Medical Assistant ,"Loganville, GA",1/4/23,2023,1,4
Good first job,"This was a good job for someone in high school. Management was ok. The work was what was expected. If you are looking for a first job to gain experience, this is the place for you.",3,Former Employee,Sales associate  ,"Woodstock, IL",1/4/23,2023,1,4
Fun place to work. ,I worked at Walmart for 8 years.  It was a fun and productive job. I got a chance to meet new people and advanced in my career. Very flexible hours and tuition reimbursement.,5,Former Employee,Stocker ,"Augusta, GA",1/4/23,2023,1,4
Could be better,"Well it is Walmart,  the job itself is not bad, but the team leads need better training and people skills, don't call anyone out in front of all the other associates.  Higher up don't care about you, longest the merchandise is out they are happy. Lots of drama.  Turn over is super high. ",4,Current Employee,Bakery Associate ,"Urbana, IL",1/4/23,2023,1,4
Just another body.,Just another body. Fired for minor situations. The work is very repetitive and you will be bored just two hours into your ten-twelve hour shift. PTO is accrued very slowly.,2,Former Employee,Warehouse Associate ,"Fort Pierce, FL",1/4/23,2023,1,4
"Easy work, toxic environment ",The point system for attendance is ridiculous. The management sucks. The toxicity is unbearable. And the most annoying people in the store are the managers. ,1,Former Employee,Food Production Worker ,"Cedar Park, TX",1/4/23,2023,1,4
Not a terrible retail job,This place is a little disorganized but if you have a good attitude then it's a good place to work. Not too draining and lots of good co workers. I've worked retail for 12 years and I've never worked at a better place.,4,Current Employee,Cap 1 Associate ,"Okemos, MI",1/4/23,2023,1,4
It really depends on the management team,"When I started there there were managers that acknowledged the hard work of the associates and I had a good time working there, but slowly they were either let go or replaced with managers that were more concerned with their image to corporate and less about the associates under them, and became a place of favoritism. Many good associates ended up seeking other employment after feeling underappreciated and their displeasures falling on deaf ears. ",3,Former Employee,Customer Service Supervisor/Manager ,"El Paso, TX",1/4/23,2023,1,4
Not enough help ,You can take days off if you have enough PTO. So there are people that has been there for years will start taking days off and you are left there working by yourself. It is so robotic. ,3,Former Employee,Deli Clerk ,"Decatur, GA",1/4/23,2023,1,4
Favoritism an handle merchandise to many times before going on shelf ,Not good communication with listening an seeing the issues an also picks favorites. Making you work harder an handle some merchandise way to many times before putting on shelves also. Wasting to much time doing unnecessary extra  work !!,2,Current Employee,Overnight Stocker ,"Moulton, AL",1/4/23,2023,1,4
