title,review,rating,status,position,location,date_posted,year,month,day
Not the best.,"If you’re wanting to work at Walmart, I would recommend going for cashier positions. Also, managers tend to pick favorites and those are the ones who get promoted. Looking for part time work, this is the place, but don’t try to make a career at Walmart.",2,Current Employee,Overnight Associate ,"Lubbock, TX",12/19/18,2018,12,19
Was a fast pase to work at.,I loved working for walmart. My favorite was layaway department manager and customer service.  Was a very friendly management team. Co-workers are all very nice too. I got along with everyone from workers to customers,5,Former Employee,Department Manager ,"Lehighton, PA",12/19/18,2018,12,19
It was very boring and fast paced.,I would show up and start unloading the truck and taking freight of the line and start putting it on pallets. Then I would start taking the freight to the floor to out it on the shelf.,2,Former Employee,Grocery Stocker ,"Jonesboro, AR",12/19/18,2018,12,19
Easy place to work,Loved working for walmart because of all the customer were very nice patient and respectful_x000D_Loved the 1 hour lunch break and the appreciation when some one moves up in the company,5,Former Employee,Stocker ,"Milwaukee, WI",12/19/18,2018,12,19
"Productive, but not overwhelming",My job was consistent since I was a cashier.  I always had something to do working with customers constantly.  Walmart provides good benefits for their workers.,4,Current Employee,Cashier ,"Moon Township, PA",12/19/18,2018,12,19
Professional and Productive,"Smile, greet, and thank customers with a positive attitude_x000D_Stand for long periods of time while checking out customers quickly and accurately_x000D_Keep your area clean and presentable_x000D_Answer customer questions and help them with their needs_x000D_Be available to assist associates across the store as needed",5,Current Employee,Cashier and Customer Service ,"South Pasadena, FL",12/19/18,2018,12,19
Sales associate,Was left by myself love customer service work in a deli and bakery the reason why I left is because management didn't know how to do the work that we did,3,Former Employee,Cook ,"Austin, TX",12/19/18,2018,12,19
Far too stressful,"There were ever enough people to go around, we were always understaffed and overworked. The corporate office seems completely out of touch with the store level. All levels of the store had too much on their plate",3,Former Employee,Wireless Sales Associate ,"Joplin, MO",12/19/18,2018,12,19
Great,•	Provide friendly service to the customer _x000D_•	Monitor the amount of items the customer has and make sure each item is place onto the belt_x000D_•	Ring-up and bag each item_x000D_•	Make sure each item rings-up for the correct price_x000D_•	Manage the money going into your personal cash drawer,5,Current Employee,Cashier ,"14501 Hancock Village St, Chesterfield, VA 23832",12/19/18,2018,12,19
As a manager I felt a part of a team even if it was very demanding and stressful,"physically demanding, high energy job; inventory, merchandising, stocking,  daily meet; cross training to assist other depts; vendor relation building",4,Former Employee,Department Manager Wal-Mart ,"Mulberry, FL",12/19/18,2018,12,19
Hood jobe,Lots of good people fast pace work. Learned many things and also taught me to be mlre organized and on time. I was exposed to all sorts of cars and car issues.,3,Current Employee,Walmart Automative Technician ,"Tucson, AZ",12/19/18,2018,12,19
A Decent Fit,"Walmart is a good employer if someone is looking for a solid job with clear expectations.  While the pay is good and the hours decent, it IS difficult to advance, but it is possible if you are patient.",4,Former Employee,Maintenance Associate/Security ,"Aurora, CO",12/19/18,2018,12,19
Not recommended at all,"Being a customer and being an employee at Walmart are 2 completely different views. Being a customer, you see a steady-working convenient company. As an employee, it was h*ll. They took hours away from current employees to train and work new hires. Managers did not respect workers much and having a second job was prohibited for some unknown reason, despite the fact that my hours at job #2 never interfered with my hours at Walmart",2,Former Employee,Electronics Sales Associate ,"Halethorpe, MD",12/19/18,2018,12,19
Good,"Walmart is a good company to work for. You would need to make sure that you are very flexible and always have someone on standby for children, if you have any.",3,Current Employee,Fresh Assistant Manager ,"Ridgeland, MS",12/19/18,2018,12,19
Material Handler,"received, organized and stocked materials coming in from the trucks every morning. fast past environment, always had something to do. work place environment was positive and very hands on for each employee.",3,Former Employee,Cashier/Stocker ,"Lockhart, TX",12/19/18,2018,12,19
Fine Place to start in the work force,"Typical day at work involved cleaning the aisles, and then stocking shelves. I've learned that this work isn't work I'd like to do for a long time, but the workplace of the culture was well-paced and fun, with management that was flexible provided work was done. The hardest part of the job was balancing my school work along with another job, but what kept me coming back was the bonds I made, and the relatively easy work.",3,Former Employee,Lawn and Garden Associate ,"Hatfield, PA 19440",12/19/18,2018,12,19
Na,Would not work there ever again. Not very understanding of certain situations. You basically have to fall over dead to get an excused absence. Family matters with CLOSE family happens and if you try to be there for said family member they will give you a point for being absent. Which is what they done to me. Kind of feel like I am better off away from there anyway.,2,Former Employee,Customer Service Associate ,"Gladstone, MO",12/19/18,2018,12,19
My opinion about working at Walmart.,"Working at Walmart was a great learning experience for me. I learned how to manage my time, while being a full time student. I learn how to speak to different people that I did not know, and how to get things done within a time frame.",3,Former Employee,Overnight Stocker/ Cap ,"Slidell, LA",12/19/18,2018,12,19
All good,I worked 3rd shift 3rd shift You could get your job done faster cause you didn't have to deal with the customers On 2nd shift They did a terrible  job most of the time cause they had to deal with the customers  I really enjoyed working there,4,Former Employee,Stocker ,"Lexington, NC",12/19/18,2018,12,19
I loved my job.,"I walked with my head up high everyday. The people was nice. I worked in th back unloadiong the truck. Then I we will sort and wrap up the thing, then put them were they surposed to go.",5,Former Employee,Stocker/Sales Associate ,"Joliet, IL",12/19/18,2018,12,19
ping pomg,hardest part was making production but i made production easy... i love going to work to see how many cases i can throw that day...i learned how to paste myself to make production without getting tired... the manager try to make our job easier but cleaning as you go was hard to do when you was on production.,5,Former Employee,Walmart Distribution Center ,"LaGrange, GA",12/19/18,2018,12,19
oph no not again,"its as trap, dont waste your time look else where for a better job. honestly its bnot worth your time go drive for uber or lyft.its a horrible enviorment",1,Former Employee,Sales floor associate ,AZ,12/19/18,2018,12,19
Lack of hours at some locations,"Depending on the season and location you will barely see any hours. Its a fun place to work, I enjoyed working there but because of the lack of hours I had to find a new job.",4,Former Employee,Cashier/Customer Service ,"Nashville, NC",12/19/18,2018,12,19
