title,review,rating,status,position,location,date_posted,year,month,day
Walmart is always changing,Walmart is a growing company that is always looking to expand on technology and with the next best thing. It is a great place to work but I am looking for something more of a career.,4,Current Employee,ACADEMY DEPARTMENT MANAGER ,"El Paso, TX",10/2/17,2017,10,2
Working for Walmart,Working at Walmart is interesting. My boss is a sweet lady and tries to be in charge but everyone runs over her. She tries and gets to close with her employees which is very unethical and always caters to certain people. There is defiantly favoritism in the office and it is very obvious. i enjoy working with people and I like t build some kind of trust between patients and myself to ensure to them they are getting their moneys worth.,4,Current Employee,Optician ,"League City, TX",10/2/17,2017,10,2
wont go back,"I mean, its Walmart.  I really liked the people I worked with but other than that it was full of nope.  they expected us as managers to push people who weren't paid that well and expect them to make coal into diamonds in a day.  aint happening.  besides the corporate, you have the customer, I mean they have a website called people of Walmart for a reason.  I have seen things that well I shouldn't have.",2,Former Employee,employee ,usa,10/2/17,2017,10,2
good people,"I enjoyed working with the people at wal mart in grove city,the customer base in the area were overall god people but recent years crime had increased and so did theft and vandalism which is discouraging",3,Former Employee,Maintenance ,"Grove City, OH",10/2/17,2017,10,2
easy work,It was busy durning the weeked and slow on week days. You helped customers with questions mostly helping them find an item. The job is easy for any department you would work in.,5,Former Employee,Produce Associate ,"Omaha, NE",10/2/17,2017,10,2
I really enjoyed my job at Walmart,I definitely would recommend Walmart to anyone seeking empty. It was a great work environment and you have the opportunity to move up as quickly as you would like. It is a fast pace and stressful job. But I definitely loved it,5,Former Employee,Department Manager ,"Marianna, FL",10/2/17,2017,10,2
very patient,wouldn't want to work there again you just have to be very humble and have a lot of patience from dealing with rude customers to rude employees and managers,1,Former Employee,Cashier/Customer Service ,"Goldsboro, NC",10/2/17,2017,10,2
"Fast paced work enviroment, minimal training offered","Walmart is a great place to work with moderate  manager support, and with  fast paced training. will be great for a quick learner if you are not afraid to put in physical work.",3,Current Employee,Customer Service Manager ,"Plano, TX",10/2/17,2017,10,2
Walmart sucks,They don't care about the employees at all. I work as a cart Pusher and got yelled at for coming in and get water to drink in 100* weather. I put a day off and got yelled at.,4,Former Employee,Cart Attendant ,"Lynn Haven, FL",10/2/17,2017,10,2
grocery side worker,"When I was there, typical work day was the same everyday. learned several skills about taking care of a department. Management was spotty...some good some bad. Over packed each employee with tons of work",3,Former Employee,Frozen/Dairy Associate ,"Bowling Green, KY",10/2/17,2017,10,2
i was very satisfied with the department,It was comfortable with the help. My experience with the company was very  satisfying. I don't have anything complaints. I would have no problem being rehired.,4,Former Employee,soft line ,"Shreveport, LA",10/2/17,2017,10,2
Great Company,"The store I was in had great store and district management who really cared about employees. Each department was pretty much like a family. In my department we would go out after work together for drinks or movies. We really worked like an excellent team, thanks to great management setting the tone in the store.",5,Former Employee,Pharmacy Manager ,"Spring, TX",10/2/17,2017,10,2
productive with face pace work environment,As a cashier I greeted each customer and make sure they had an easy product transaction. It usually was busy at this particular site which made the time go by fast. Nothing really hard about the position. Hardest part mainly was dealing with upset customers.,3,Former Employee,Cashier ,"Meridian, MS",10/2/17,2017,10,2
A good place to work you meet many people,"You learn how to mark down prices, order merchandise, count inventory, check vendors in, the management team I worked for were great, associates I worked with were also great to work with even though throughout the time I lost co-workers due to death. The hardest part of the job was to meet the numbers, like goals set for the week. The most enjoyable part was meeting new people and staying friends with them.",5,Former Employee,Cashier and Sales Associate ,"Charlotte, NC",10/2/17,2017,10,2
Fun place to work,"It’s a cool place to work you really build a family working there. You meet all kind of people. The position I had was the heart of the store, so it took a lot of hard work from my team.",5,Former Employee,Wal-Mart Cashier ,"New Orleans, LA",10/2/17,2017,10,2
