title,review,rating,status,position,location,date_posted,year,month,day
great place to work,Indeed Featured reviewThe most useful review selected by Indeed,4,Former Employee,"CUSTOMER SERVICE SUPERVISOR, OVER-NIGHT ","El Paso, TX 79904",3/23/18,2018,3,23
No Title,"it was good pay but they can definitely start using you sometimes. It wasn’t a bad job at all. Sometimes the management can be a little micro, but other than that, not too bad. ",5,Former Employee,Shopper Team Member ,"Baton Rouge, LA",8/11/23,2023,8,11
Decent,Decent place to work at if you have good management. Unfortunately some in this current location are not so great and seem to abuse their station to offload blame on to hard working employees trying to get by in life. ,4,Current Employee,Stocking Associate ,Colorado,8/11/23,2023,8,11
It's retail,"It's a retail job with all the drama, lack of appreciation and hard work. If you can suck up enough you'll get promotions but it's not the worst job I've ever had and would go back. ",3,Former Employee,Deli Worker ,Pennsylvania,8/11/23,2023,8,11
"not too strict , laid back job ","pretty good job , pretty easy and good pay for what your doing , can get super busy but also get super slow depending on days , fun job to socialize at but if your manager sucks it’s no fun anymore ",4,Former Employee,OPD Associate ,"San Antonio, TX",8/11/23,2023,8,11
Easy fun workplace ,What is the best part of working at the company?14.00 hr get paid weekly benefits are great you can also go back to school and walmart pays for it also you get ppto time to use when you want What is the most stressful part about working at the company?Very busy and you have to keep up a positive attitude What is the work environment and culture like at the company?Friendly people who will help you when needed What is a typical day like for you at the company?Easy. A little stressful on weekends but we get less people through the week day,5,Current Employee,Customer Service Associate ,"Owensboro, KY",8/11/23,2023,8,11
It’s sucks that’s that’s all,"What is the best part of working at the company?Meeting new ppl an bonding like family ,but the management sucks.They care nothing about their associates.It’s always a turn over ppl quit bc of bad treatment from managers.What is the most stressful part about working at the company?They make up new rules everyday an they pick an choose of whom can do what an who can’t What is the work environment and culture like at the company?It Sucks.u have to do other ppl jobs cos they are lazyWhat is a typical day like for you at the company?Stressful an no communication",1,Former Employee,Cashier/Sales Associate ,"Benbrook, TX",8/11/23,2023,8,11
it wasn't so bad,"its walmart, its as good as you think it would be. just show up and do your job and go home. no need to go above and beyond because it will not get rewarded.",3,Former Employee,Electronics Sales Associate ,"Guymon, OK",8/11/23,2023,8,11
mid ,"its very mid if your into mid jobs than this is the one for you. You don't have to try very hard and that works for some people, i found it very mid. Hope this helped",3,Former Employee,Mechanical Engineer ,"Texarkana, TX",8/11/23,2023,8,11
Awful place to work stressful and unappreciated ,What is the best part of working at the company?Ended up with PTSD. Can’t recommend. What is the most stressful part about working at the company?Hiring people that will come to work. Company policy makes it to easy to stay home What is the work environment and culture like at the company?Awful.  Fake concern for workers What is a typical day like for you at the company?10 hours or more   Upper managersWould come in an demean you,1,Current Employee,Manager ,Various,8/11/23,2023,8,11
