title,review,rating,status,position,location,date_posted,year,month,day
great work place,days are steady_x000D_employees are easy to work with_x000D_Customers can be sometimes hectic_x000D_I learned lots of customer service experience _x000D_was able to learn how to deal with difficult customers,3,Former Employee,Customer service ,"Mansfield, TX",8/19/18,2018,8,19
Excellent work environment,Awesome work environment with management that really cares about their employees. You often get raises as long as you pass your quarterly assessment. Great benefits and great pay.,4,Former Employee,Wal-Mart Associate ,"Hazard, KY",8/19/18,2018,8,19
stressful and hard work.,Their is room for advancement. It can also be cutthroat. Walmart has good benefits. The pay raises are not that good. It could be a lot better. The coworkers some of them could be envious at times.,4,Former Employee,Customer Service Manger ,"Geneva, AL",8/19/18,2018,8,19
Its a joke,This place is a joke they treat their workers like sweat shop workers they arent organized like they are supposed to be. I wouldnt work for them ever again.,1,Former Employee,Wal-Mart Associate ,"Highland, CA",8/19/18,2018,8,19
"Tiring, stressful and unfair","I believe that maybe it was the store I worked at. Employees were unprofessional,management is poor and unfair, the customers in that area was just HORRIBLE. I’m 18 now but was 17 at the time when I was working. By far the WORST job I had. It makes never want to work for a supercenter/supermarket ever again. If your young and in school please find a more peaceful job",1,Former Employee,Cashier ,"Atlanta, GA",8/18/18,2018,8,18
"Hard labor, also tedious and must have attention for detail.","Overall unloding 2000 to 3000 piece trucks of product, then sorting it out on to palettes, and then stocking your assigned sections of products into there specific number cordinated sections for that product to be placed neatley on to the shelves .Awesome and attentive managment towards employees which allow fellow coworkers to work as a team and make a friendly work environment. Really appreciated the  break and lunch periods given so employees arnt being over worked.",5,Former Employee,Cap team 2 ,"Tulsa, OK",8/18/18,2018,8,18
Love the company I work for,I hope to stay for at least 30 years.  Within six months I had advance to a new position. If you work hard it does payoff. And advancement is easy with a great work ethic.,5,Current Employee,Sales Associate ,"Lumberton, NC",8/18/18,2018,8,18
Fast paced job,It a good place to work I just think I would like to learn different skills. I would like to take my knowledge that I have learned to a different trade. I have really enjoyed my time there in the years I have been there.,3,Current Employee,Cashier ,"Lubbock, TX",8/18/18,2018,8,18
Ever Changing,The jobs at Wal-Mart are constantly revised as to standard operating procedures. This often causes confusion and a lack of new direction motivation. It is a place that can be fruitful with diversity.,3,Former Employee,Customer Service Manager ,"Stillwater, OK",8/18/18,2018,8,18
relaxed,"it was a very relaxed work place. Everyone was really nice, helpful, and outgoing. hours were really good not too bad.  wouldn't let you go overtime. 15 minute breaks.",5,Former Employee,Personal Shopper/Cashier ,"Cape Coral, FL",8/18/18,2018,8,18
Workplace is fine enough,"My overall work experience was fine, however I had several issues with a member of management trying to impress her superiors and overworking the members of my department",3,Former Employee,sales associate ,"Floresville, TX",8/18/18,2018,8,18
Poor Management,"Poor mangement, rules only applied to some people. cashiers do more work than anybody else minus the backroom people. schedules  are inconsistent. do not count on a 40hr work week even if full time.",2,Former Employee,Cashier ,"Tucson, AZ",8/18/18,2018,8,18
Sustainable Job for an Individual,"My typical day at work would start by carrying, lifting deli products, cook in the oven and sell to costumers. I learned in Wal-Mart different strategies in making sales. But unfortunately the management I am under has different opinions compared to mine. THe workplace is just okay. The hardest part of the job is the lifting of boxes of deli products. THe most enjoyable part is interacting with the costumers.",3,Current Employee,Deli Associate ,"Center, TX",8/18/18,2018,8,18
Fast Paced,Walmart is one of the most global companies ever. There is never a non working moment when younare on the clock. It is a very fast paced business and place to work.,4,Current Employee,Deli Associate ,"Simpsonville, SC",8/18/18,2018,8,18
It was a good envirornment to work at and some of the employees made it feel comfortable to work.,"I worked as a cashier and it got a little hard when it got packed and the lines were long ,and then in a few months I got moved to electronics which I had to show the customers the products they wanted and what it's used for ,and then sometimes I had to do stocking and put all the produces in the boxes in the shelves .",5,Former Employee,Walmart Supercenter ,"San Antonio, TX",8/18/18,2018,8,18
A nice start,"It is a good job for somebody looking to get on their feet fast. I would recommend this job to anybody, I loved it and would work there again if I had the chance.",4,Former Employee,Stocker/Receiver ,"Ennis, TX",8/18/18,2018,8,18
Walmart bittersweet experience,"My position as a cashier was very tough yet i loved it. Connecting with different people. Though some customers was hard to please I remained humble , and continued my job with a smile.",5,Former Employee,Cashier ,"Southaven, MS",8/18/18,2018,8,18
its Walmart,"typical day at work is hectic. You never know where they are going to need you that day, if you become cross trained in other areas of the store. Workplace culture sucked. Lots of unreported stealing from employees. Most enjoyable part of the job was the discount offered.",3,Former Employee,Money Center Agent ,"Austin, TX",8/18/18,2018,8,18
Company had break room in back,I had a good team here they did me good they let me do a little of everything i had 2 years experience doing this. this was a great company to work for just moved back home and had to for my boy was getting born in a saver environment and closer to my family.,3,Former Employee,Tire and Lube Express Technician ,"Fort Smith, AR",8/18/18,2018,8,18
great employees fun and customers were awesome,every day your greeted by many ppl smiles . I loved being a janitor it was challenging and medium pace most the time . A lot of  work to do everyday not a dole moment .,4,Former Employee,Janitor/Maintenance ,"Glendale, AZ",8/18/18,2018,8,18
Family,Both the people I worked with and some of the customers made you fell like family. There was never a boarding moment when at work. Though the management could learn a better way tho talk to and handle employees,3,Former Employee,Customer Service Manager ,"Columbus, OH",8/18/18,2018,8,18
A company with no integrity,"This company treats all employees as if they or their families have no worth.  After having worked for this company for 4 years, it was decided to restructure the management system.  The offer was to relocate to a different city and take a $12K a year cut or receive a severance.  During my time at Wal-Mart, Assistant managers had to re-interview for their positions twice.  Do not recommend this company as an employer or a place to frequent.",1,Current Employee,Assistant Store Manager ,"Stillwater, OK",8/18/18,2018,8,18
I can say walmart is a pretty good place to work.,My day at work. i start my seeing what kind of sandwichs are out. I then start to make all the stuff that is out. In my years with walmart i have work around alot of different kind of people. I  have made alot of friends.,3,Current Employee,Deli/Bakery Associate ,"Joplin, MO",8/18/18,2018,8,18
receiving,Come Set the backroom up. meaning lay pallets down put the line in the truck. then ask your supervisor  is it ok to start unloading the truck.after that proceed to putting boxes on the line,3,Former Employee,Shipping/Receiving Clerk ,"Glen Ellyn, IL",8/18/18,2018,8,18
Nice people,I enjoy working with the people that I do. The work I perform is not bad but the pay is terrible. If your looking for a good part time job I would recommend Walmart but you can’t make it full time.,3,Current Employee,Technician ,"Lagrange, KY",8/18/18,2018,8,18
good asc,Job changes daily.always knew who was getting promoted before it happened.Hardest part of job was seeing management not being consistance with all asc,4,Former Employee,Ast/accm  manager ,mattoon il,8/18/18,2018,8,18
Fast Paced,"I enjoyed the time I spent there, the friendly environment, and the pay rate. Didn't get to stay for too long, but the experience was worth gaining. Highly recommend working here.",5,Former Employee,Stocker/Receiver ,"DeRidder, LA",8/18/18,2018,8,18
A fun and stressful job!,"You work on a fixed shift. The shift schedules provide for a very good work life balance. Job security is not so great, you are a commodity. The pay could be much better, on par with their dress code which is business attire.",4,Former Employee,Customer Service Operations ,"Orlando, FL",8/18/18,2018,8,18
Overall work environment,Overall work week is well due to the many different shifts and the numerous amounts of employees. The work is very laid back and is tailored to your own needs and wants.,2,Former Employee,Customer Service Associate ,"Grants Pass, OR",8/18/18,2018,8,18
Horrible management,Walmarts management sucks. They dont care about their employees. They care about themself and hardly do anything. They make other do what they should be doing.,1,Current Employee,TLE Service Writer ,"Washington, IN",8/18/18,2018,8,18
they work u hard and its less workers...,The managers are all for they self ... Its a new manager every 4 months and they disrespectful.. They barley no how to run the store... But its regular workers that been there for a while that can run the store betrer than them and cant ger a manager position...,2,Former Employee,Stocker ,"St. Louis, MO",8/18/18,2018,8,18
"Great Co-Workers, Great Managment","Walmart was a amazing experience and a great place to work. Everyone worked to help the costumers have the best experience possibly, working for a Walmart opened my eyes to a whole new world of saving money and living better.",5,Former Employee,Walmart Deli Associate ,"Mount Sterling, KY",8/18/18,2018,8,18
Overall all a decent place to work for college or high school students.,A typical day was pushing carts to the bay and picking up trash. Management was fine. The hardest part of the job was being outside all the time. A great place to work for college and high school students.,4,Former Employee,Cart Crew ,"Duncan, OK",8/18/18,2018,8,18
Not worth the time or effort,"Treated like garbage for minimal pay. Virtually no respect around the workplace. Intensive hours, when and if you get any. Generally was simply not worth the time spent employed there.",2,Former Employee,Stock Associate ,"Hudson, FL",8/18/18,2018,8,18
stressful,I started working in the deli after 4 yrs. I moved to soft line. We were not allowed overtime even when it was needed. My supervisor was breaking all the rules and finally was fired after I had left.,2,Former Employee,deli associate and software associate ,"Nacogdoches, TX",8/18/18,2018,8,18
The best place on earth to work,This company values it’s associates it goes above and beyond for them they care about the employees and their families.... 😂 I would pick this company to work for hands down,3,Current Employee,Service Writer ,"Cherry Hill, NJ",8/18/18,2018,8,18
Workng at Walmart was Good,"I enjoyed working at Walmart for a few months, the only reason I left was to work in childcare which is benefital to my Education Major but overall it was a good job",4,Former Employee,Cashier ,"La Vista, NE",8/18/18,2018,8,18
work,Tgere was some amazing workers there and very helpful managers there also. the coworkers and managers treat others right with respect and dignity all the time,4,Former Employee,Cashier ,"Carthage, MS",8/18/18,2018,8,18
"I want to go back, best job I had in a long time",I plan to reapply to walmart in december. Everyone there is nice for the most part and you are not always stuck in your department. Management encourages working up the ladder and promotions. You work a nine hour day (two 15min breaks and 1 hour off the clock lunch) You get a discount and you can cash your check instead of running to a bank. Plenty of people to help and assist.,5,Former Employee,Assist customers ,"Fredericksburg, VA",8/18/18,2018,8,18
College Job,"Walmart was my college job, I enjoyed the tasking, and interacting with customers in specific departments.  There were a lot of supervisory roles that made it hard.  Too many people telling too little people what to do.",3,Former Employee,Sales Associate ,"Bloomington, IL",8/18/18,2018,8,18
Management,In order to get hours you have to plead with management for them. The job itself is a fun work environment. Management just needs more training on their job.,2,Current Employee,Cashier/Customer Service ,"Goodyear, AZ",8/18/18,2018,8,18
Review,Working here was as stressful as work gets; hours flexed sometimes without employees knowing. A lot of people were in and out of my workplace due to management not knowing how to properly address their associates and for unfair work environment. My job was not hard but the people I sometimes had to work with were a nightmare. It also does very little to encourage people to work when the managers are biased (that is just my opinion based on my own observation).  I did not enjoy working for Walmart at all and wold not recommend it to anyone.,2,Former Employee,Meat Associate ,"Chesapeake, VA",8/18/18,2018,8,18
Excellent on Safety,"A typical day of 10 hours consist of moving, lifting,stacking pallets with the RC forklift. Working for this company I have TEAMWORK is the primary word for SUCCESS. Teamwork will carry a business a long way. The hardest part of the job is when the job hires employees that come in and don't like work to get the job done. They just wanna get free money. You train them up and they end up getting fired because the production was not meet. Now HR has to continue to hire.I enjoy that our break is paid for and we don't clock out. They also treat us with ice cream, hot dogs and hamburgers, chips and cookies for no reason and yearly bonuses.",5,Current Employee,Warehouse Worker ,"Atlanta, GA",8/18/18,2018,8,18
Very good,Walmart was a great place to work. They paid great and you make great friends there. The friends become your walmart family. I work recommend walmart to anyone that wants to work.,5,Former Employee,Department Manager ,"Greenwood, SC",8/18/18,2018,8,18
Fun place to work most of time; good benefits;,Fun place to work most of the time. Management needs better training on how to treat associates with respect. Pretty good benefits and HATE working on Thanksgiving,4,Current Employee,CUSTOMER SERVICE MANAGER ,"Oakwood, GA",8/18/18,2018,8,18
Walmart is a great place for any young adult to learn how to work.,Walmart is where I learned so many things. It is a great place to start a career. It is a great place to learn work ethic and  business ethics and overall customer satisfaction.,4,Former Employee,Office Associate ,"Elizabeth City, NC",8/18/18,2018,8,18
It was a very fun workplace,"There was always ways to stay busy. The manager and people I worked with were a lot of fun. I only got to work at Walmart for a month because it closed, but I loved having the opportunity to work there.",5,Former Employee,Wal-Mart Cashier ,"Blue Earth, MN",8/18/18,2018,8,18
Quiet work place,My time at Wal Mart was short due to being a temp and relocating back home out of state. The work was tedious but tolerable it made the shift go by fast,3,Former Employee,Overnight Stock Associate ,"Brooksville, FL",8/18/18,2018,8,18
I wouldn’t work for Walmart again,They treat their employees like dirt and treat their employees so bad it’s rediculus  they will stop giving u  hours and they will cut yours hours n the mangers treat u like dirt,3,Former Employee,Cashier ,"Fallston, MD",8/18/18,2018,8,18
What I learned,Since I've worked at Walmart I learned how to interact better with the customers and my coworkers.  I have progressed and know how to solve problems in a timely manner.,4,Current Employee,Customer Service Representative ,"Gilbert, AZ",8/18/18,2018,8,18
Great Benefits And Career Advancements,Walmart is a great company to work for. There are many positions within this company. The benefits are great and the workers are great also. I’ve never had a problem with any manager I’ve come across.,5,Former Employee,Costumer Service ,"Albuquerque, NM",8/18/18,2018,8,18
very good enviorment,"a typical day at work is fun an exciting, what i learned from Walmart is that everybody is different you will have your good days just as well as bad but if your good out weighs your bad your good, Some of the managers are supportive just know who is for you an in your circle, the hardest part of my job was to take lunch i was always on the go wanted to work, the most enjoyable part of my job was the customers helping them out.",4,Former Employee,Produce Clerk ,"Macungie, PA",8/18/18,2018,8,18
Horrible.,"You might end up insane. Compleyely, totally, entirely out of your mind, and that's just from poor management. Favoritism is rampant, managers are poorly trained, and cruel.",1,Current Employee,Overnight Cashier ,"Van Wert, OH",8/18/18,2018,8,18
cool,I like twalmart because it is big and nice i like the food and drinks they are good and i like the bean dip and the fries and the tots and the nacho s and the cokes and sprites and the drinks and the sun chips i like to eate the food there,3,Former Employee,Associate Merchandise Buyer ,"Simi Valley, CA",8/18/18,2018,8,18
Productive,"Shift starts at 10 p.m. Management started off the night with a 15 minutes meeting, providing everyone with their designated department. I have learned to locate and stock merchandise to it's home, in above standards speed. The culture of this workplace can be bias, due to the different levels",3,Former Employee,Overnight Stocker ,"Durham, NC",8/18/18,2018,8,18
"Good workers , mangers arent so nice","Walmarts a very good job , but can be difficult as to everyone wants to try to be better then you so its always competive. But Walmart is a very fast place and fast moving ! Great place",3,Former Employee,Cashier/Customer Service ,"Pinellas Park, FL",8/18/18,2018,8,18
Mixed feelings,"The people I had surrounded me were great, meaning as associates anyways. Some supervisors and managers were what I felt like did not truly understand what they were doing. The best part of the day was going to lunch just getting to relax and that's what I hate to say.",4,Former Employee,Cap Team 2 Associate ,"Carrollton, GA",8/18/18,2018,8,18
Busy and Fun Place to wor,I was happy working with Walmart until I lost my transportation to and from work.  Then it became very hard getting to work and that is the reason I left,5,Former Employee,Cashier/Customer Service ,"Sterling Heights, MI",8/18/18,2018,8,18
"I would have enjoyed working there if I was older, I have 3 kids, bills, rent, & would like to spend more time with them but the schedule is 5 days.","The only flaw in this Hub is that your not allowed to have OT. Work 5 days a week & barely get 35 hours a week, I have kids, bills, rent, & need more $",3,Current Employee,Floater ,"Hagerstown, MD",8/18/18,2018,8,18
great services,Walmart was a great experience for me. It was a nice job where I could make some extra money until I went back  to school. If you are willing work there make sure you wear comfortable shoes.,4,Former Employee,Cashier ,"Southaven, MS",8/18/18,2018,8,18
Comments,"enjoy serving customers,_x000D_how to be more patient with customers, _x000D_poor management, _x000D_some of the coworkers I respect and enjoy working with while others make it difficult, _x000D_answering telephones, _x000D_assisting with customers and greeting them.",1,Current Employee,Sales Associate ,"Kokomo, IN 46901",8/18/18,2018,8,18
wal-mar,"wal-mart gives you a chance to grow as an individual. _x000D_Many companies do not allow you to be yourself, but wal-mart embraces their employees different ethics.",4,Current Employee,Cashier ,"Dover, DE",8/18/18,2018,8,18
Fun time at walmart,"working at Walmart was fun until we got a new store manager. working at Walmart isn't hard, its an easy job. customer services are key, gotta know how to handle all situations.",3,Former Employee,Toys associate ,"Saint Cloud, MN",8/18/18,2018,8,18
It’s was a good experience for me during the time I work there.,It was a great experience the benefits was pretty decent. Working in Georgetown we were more like family and everybody was caring of each other.  Each day I looked forward to going to work but the distance was too far for me and it was costing me more to travel back and forth.,4,Former Employee,Deli Associate ,"Georgetown, SC",8/18/18,2018,8,18
new breakroom,"great place to work, good pay. working at Walmart is like being a part if a family. they give you enough hours to. managers are always helpful and if you need to talk, they are available,",5,Current Employee,Fitting Room Associate ,"Avon, OH",8/18/18,2018,8,18
Good Starter,"Walmart is a good starter job, but not enough to compensate cost of living. As a part-time employee, I was not provided healthcare benefits which I needed for my family.",4,Former Employee,Produce Clerk ,"Goldsboro, NC",8/18/18,2018,8,18
Walmart is not good,"They treated me unfairly,I was a great employee & deserved better than I received.. Walmart really needs to monitor their management team & how they operate.",1,Former Employee,Support Manager ,"Bowling Green, MO",8/18/18,2018,8,18
Loved working at walmart,Was required to work until the tasks that were given were completed wether it was 40 hrs to do it or 90 hrs to completion. I loved doing what i did and learned even more about how to sucessfully run business on the highest of scales.,5,Former Employee,Assistant Store Manager ,"Newport, OR",8/18/18,2018,8,18
Most employees were very helpful. Mgnt. was very rude,Most places i've worked i was to count my own cash draw before starting my shift but not here. When you clock in you are to report strait to your register. if you needed to  use the restroom or talk to a manager or supervisor that was to be done on your own time. if you have a family emergency ( which i did ) i was told if i left i was fired.,2,Former Employee,Cashier/Sales Associate and Stock ,"Elizabethtown, NC",8/18/18,2018,8,18
It’s alright,"I just don’t want to work here anymore. This job provides benefits, but Walmart will not move me from my position to inside the building until they can replace my position. I would stay longer but I just don’t like working on that parking lot. People will race to see if they can pass you, no turning signals, and people constantly keep nearly hitting me with there car. In all I just don’t feel safe there",4,Current Employee,Walmart cart pusher ,"Asheville, NC",8/18/18,2018,8,18
Wal-Mart is not a compay i woud recomend,All they care about is how much money they make and nothing about people.  In the start years ago it was a good place to work. They do not treat their employees like they even care about them.,1,Current Employee,Dispensing Optician ,"Longview, TX",8/18/18,2018,8,18
Great Benefits and Hours,I started out as a cashier and worked my way up to Customer Service Manager. They are really kind as far as any issues it came to. Although being a CSM they demanded things that were out of our level to be able to deal with.Pay was not a fair amount to the job duties involved.,5,Former Employee,Customer Service Manager ,"White Settlement, TX",8/18/18,2018,8,18
Great Benefits And Career Advancements,Walmart is a great company to work for. There are many positions within this company. The benefits are great and the workers are great also. I’ve never had a problem with any manager I’ve come across.,5,Current Employee,Merchandise Reconciliation Associate ,"Baton Rouge, LA",8/18/18,2018,8,18
Productive fast working easy,The point system works well for this company but this store I worked at management seems to pick favorites and that's cut and dry however I would recommend  working at a Wal-Mart very good pay very good chance of becoming management and more,3,Former Employee,Customer services supervisor/ manager ,"Tipton, IA",8/18/18,2018,8,18
Repetitive but consistent,"You walk in, you generally know what you're doing that day (at least as a cashier). Day in and day out you simply check out customers' groceries and make small talk with them. It's not really boring but it's not entertaining. A pretty medium job.",4,Former Employee,Cashier ,"Woodstock, GA",8/18/18,2018,8,18
This job made me stressed and sick often.,"I applied to be electronics and I got put into Lawn & Garden.  Fine whatever.  However, I often got put by myself having to do register, zoning, and managing the department alone and there is absolutely no way to do that BY YOURSELF ON A SUNDAY ONE TO TEN PM._x000D__x000D_Absolutely ridiculous.  The moment something goes wrong, managers refuse to take fault.  I got yelled at for ""doing nothing"" when I just finished helping a guest.",2,Former Employee,Lawn & Garden and Seasonal Associate ,"Summerville, SC",8/18/18,2018,8,18
Do you really want to tell people you work at WalMart,"Wal Mart and their employees ave a reputation, it's not a good one either. The hours drag and the work is inconstant and so are the expectations. There is little guidance and almost no expectation to succeed.",1,Former Employee,Inventory Management specialist ,"Brandon, FL",8/18/18,2018,8,18
good place,"walmart was a great place to work. good benefits not great pa, good career advancement opportunities. the uniform is jeans or black pants with a blue polo shirt. the people were pretty nice to work with the management was decent. you get an hour for lunch but its not paid so you are at work 9 hours always.",3,Former Employee,Stocker ,"Upper Sandusky, OH",8/18/18,2018,8,18
Great work place,Wal-Mart are great employers. I love the fact they do not treat no one less than no one. Wal-mart is a great place to make money and live with great benefits. I would highly recommend this job to others.,5,Former Employee,Walmart Stocker ,"Albuquerque, NM",8/18/18,2018,8,18
Was not bad at first but got worse,"Job was goof for the first few months, until some higher managers played favoritism, there were no advancement opportunities, you get paid time off for so many hours worked and you could use them for vacation or sick days. that was the only cool thing",2,Former Employee,Deli clerk ,"Washington, PA 15301",8/17/18,2018,8,17
It was a fun place to work interacting with guests.,Working at Walmart you have to be adamant about not being run over and intimidated by supervisors. You have to demand you breaks. As long as you are given your scheduled breaks you can have an easy day. But you have to be willing to assist guests at anytime while in uniform.,3,Former Employee,Customer Host-Asset Protection ,"Towson, MD",8/17/18,2018,8,17
it an ok place to work,it was not a bad place to work untill they cut my hour after being there for 2 years and gave them to some one else so when they did that i had to quit because they put me down as pt,3,Former Employee,Personal Shopper ,"Rogers, AR",8/17/18,2018,8,17
great team work and confertable work invorment,My typical day at work was restocking all fruits and vegetables and composting out all bad or going bad foods also setting up sales stands and changing out tables as they wanted to sale changing prices as mark downs as also mark ups when it was time for it also they on some days was take to new areas when they needed help and learn new thing as i was placed in dentifrice of departments like meat room and freezer and receiving from trucks and on holidays help out set up displays also helping out when came to black Friday when the event happen and the friendly coworkers i work with they where helpful on top of great team workers and the workers where always recognize there workers as celebrating there birthdays how long they been there and having party's on thanksgiving and Christmas,5,Former Employee,Produce Associate ,"Chesapeake, VA",8/17/18,2018,8,17
It was an ok job,"My job at Walmart was fun place to work, very kind people's. I loved that job. I learned how to handle difficult customer and workers. The hardest part of my job was going home.",4,Former Employee,Cashier ,"Horn Lake, MS",8/17/18,2018,8,17
Decent place to work,"Decent place to work. Flexible schedule.  Decent pay, but still not enough for the work I do. Management is pretty good, my current manager is the best!",3,Current Employee,Optician ,"Fremont, NE",8/17/18,2018,8,17
A lot of work. Every turn has something to do!,"It’s a great companie. Cash office it’s a hard and fast working place, where you need team work to get the job done. Walmart it’s great they give good hours and benefits.",5,Current Employee,Cash Office Associate ,"Carolina, PR",8/17/18,2018,8,17
Fun place to work.,Loved working every day. Time went by fast and i made amazing work friendships. I got hour lunches and the pay was really great for me at the time as well.,5,Former Employee,Produce Clerk ,"Centerville, UT",8/17/18,2018,8,17
Walmart is Rapidly Changing,"Walmart is not the same company it was 15 years ago. And all stores and store management teams are not created equal. The culture is drastically different from one store to the next and one store manager to the next. At teams it seems Walmart has a clear vision for the future, and at other times it seems they’re grasping for straws. The salary is good, the benefits are OK, and the atmosphere is OK if you end up in a good store. Otherwise... good luck.",3,Current Employee,Assistant Store Manager ,"Aurora, MO",8/17/18,2018,8,17
Long and Stressful,"This job demands you to work to the bone for minimal pay. The Management in the facility can be very disrespectful to the employees that are trying to do their best to get the work done in a quick and safe manner. Other than a discount you get at 91 days and the bonus which you don't qualify for until your 6 months in the company and their ""instore pathways training program"" is complete.",2,Former Employee,Unloader/ Stocker ,"Woodland, WA 98674",8/17/18,2018,8,17
walmart,good customer service_x000D_ friendly with coworkes and customers _x000D_ I have I good experience working for Walmart for 12 years my gool was be a assianten manager for de company,3,Former Employee,Cap Team 1 ,"Methuen, MA",8/17/18,2018,8,17
This should be a last resort,"The culture is very bad, management largely makes decisions based on whether they like you or not. The only good thing I can say is they offered the most hours I've ever received for a part time position. They treat vendors even worse than associates.",2,Former Employee,Sales Associate ,"Greenville, TX",8/17/18,2018,8,17
"Great place, poor management.","I loved my job, but when you're  poorly scheduled daily work becomes stressful. Management tends to be bullies, and rarely followed the rules expected.",3,Former Employee,PICKER ,"Spartanburg, SC",8/17/18,2018,8,17
fun,walmart is a great job to work at some people are nice sometimes the pay is great they also work around your classes they do have great insurance. Walmart can sometimes a little stressful during the holidays because of the sales and layways they be having,5,Former Employee,Cashier/Sales Associate ,"Newberry, SC",8/17/18,2018,8,17
It a great work places I been there for years,It’s a great company its a lot of different customers very big a lot of work to do I also love learning in working and different departments mangers are awesome.,5,Former Employee,Walmart Stocker ,"Midlothian, VA",8/17/18,2018,8,17
Its ok,"Good for a temporary job. Management does play favorites a lot. It reminds me of high school. You tend to have to take on a huge work load, and have to beg someone when you need help.",3,Former Employee,Associate ,"Easton, PA 18045",8/17/18,2018,8,17
It was good,Overall  Wal-Mart  is ok to work for. I'm just ready for a change. It is very  stressful  sometimes and other times  it's not. I love working with people in general and  there are a lot of  different  personalities that I come across,3,Current Employee,Customer Service Manager Wal-Mart ,"Yorktown, VA",8/17/18,2018,8,17
i enjoyed it,"it was a good job i met good people, the managers were motivated and eager to solve problems, my coworkers were laid back, there was the occasionally bad apple and unreasonable customers but all in all was a good experience.",4,Former Employee,Asembler ,"Hewitt, TX",8/17/18,2018,8,17
