title,review,rating,status,position,location,date_posted,year,month,day
It's Okay,"I worked in OGP and loved my management and most of the people who worked in my department. The customers can be nice, but most of the time you'll deal with angry mothers who need to pick up their kids from school and decide to come get their groceries at one of the busiest times of the day or angry old people. If the store calls other departments to help you're gonna hear people complain nonstop. You can work yourself into the ground and bend over backwards, but the upper management won't acknowledge your work or even care to put you on full time. I worked part-time but basically worked full time and stepped in when managers needed breaks and they still wouldn't put me on full-time. The pay is great, but the job is not easy.",3,Former Employee,Ecommerce Personal Shopper ,"Nampa, ID",7/26/21,2021,7,26
"Okay workplace, leave when you can ","This job was not the move. I had to do other people’s job while they were goofing around. If you have a problem and go to management about it, chances are they won’t do anything or look into it. The pay is decent and it’s not hard to move up in the company unless management has favorites. ",2,Current Employee,Cap 1 Stocker ,"Ogden, UT",7/26/21,2021,7,26
great co-workers,Some management really care and others do not. The co-workers help make the day go by faster. The training could be better. There is little advancement opportunities.,3,Former Employee,Online Shopper ,"Detroit, MI",7/26/21,2021,7,26
Stressful and Tiring Workspace,"If it was not for my coworkers and recent pay raise, I would not have stayed as long as I have. The management style is micro-managed and there is always something changing. The hours are practically set, but tend to bring the stress home. ",3,Current Employee,Personal Shopper/Sales Associate ,"Pontiac, IL",7/26/21,2021,7,26
"Great coworkers, the rest is lacking.","Title says it all. Management can be difficult to work with, nearing on the impossible sometimes. Always understaffed, no OT allowed as they will make you cut it somewhere. Upward mobility is there if you want it, but pay is not worth the responsibilities. Management stays until all their tasks are done, NOT when they are supposed to leave. Very common for management to work 14+ hours days 5-6 days at a time. However, the coworkers you'll interact with are, for the most part, great and will make your experience better.",2,Current Employee,Online Grocery Pickup Associate ,"Albany, NY",7/26/21,2021,7,26
Bad management. Good benefits.,"Good benefits at the job. Plenty of breaks, 401K, Stock investment, PTO, etc.Pay is nice. Grocery pickup makes $14/hr at the time of this review.Management is unorganized. Keep changing the rules.",3,Current Employee,Online Grocery Pickup ,"Wood River, IL",7/26/21,2021,7,26
This job,Love this place. I like it. Working here is amazing. There is so much pay. There are too many lines. This can be hard. Sometimes they give raises. I left. ,5,Former Employee,Cashier ,"Geary, OK",7/26/21,2021,7,26
Good paying company with good benefits ,"I enjoyed my time I spent at Walmart, I would recommend anyone who is looking for a job to go apply there. They have good pay and nice 1 hour lunch breaks.",4,Former Employee,Self-Checkout Attendant ,"Camden, SC",7/26/21,2021,7,26
Good stratagies but most dont follow,"Low pay, people complain and dont do their job correctly. If you work hard and listen, management will notice but it takes a long time to move up. Not worth it unless manager",3,Former Employee,Walmart Stocker ,"Temecula, CA",7/26/21,2021,7,26
Dont work for walmart longterm,"Walmart pays long-term associates the rate as new ones. There is no compensation for good work, loyalty, or advancement. I have worked at multiple locations and always advancement and compensation occurs through popularity. The culture of bullying is all inclusive and pervasive, not just tolerated.",1,Current Employee,Sales Associate ,"Arvada, CO",7/26/21,2021,7,26
easy job,easy job if you get the interview you're hired. basic pay for a basic job. customers can be a pain. management sucks and there was no room for growth.,3,Former Employee,Wal-Mart Associate ,"Clinton, IA",7/26/21,2021,7,26
"Coworkers and department managers were great, store manager actively made things worse",I worked here for a bit over a year and loved my coworkers and my produce managers. Store manager would go out of his way to make our work harder just because he believed everything needed to be moved or cleaned at all times of the day. No chance to move up unless you wanted to be talked down to.,2,Former Employee,Produce Associate ,"Mont Belvieu, TX",7/26/21,2021,7,26
Decent ,I didn’t know work there for long but meeting new people was fun. Management is nowhere to be found when you’re under 21 and someone has alc that you can’t sell ,3,Former Employee,Cashier ,"Naperville, IL",7/26/21,2021,7,26
Management sucks and the hours are ridiculous,Loved the neighborhood market in owasso. Hated the Vinita regular walmart. Management is a joke and they schedule you however they want even if you put in that you cannot work certain days. ,2,Former Employee,Cashier ,"Vinita, OK",7/26/21,2021,7,26
Horrible management ,"Management has unrealistic expectations. They always pick favorites. If you don’t suck up. You will have no opportunity for promotion. I work in Produce and the quality of products is really poor. It goes bad really fast, making my job harder than it needs to be.",3,Current Employee,Wal-Mart Associate ,Fresh,7/26/21,2021,7,26
Some of the managers need more training or a demotion,It was an okay experience but definitely not the best. It's not a company that I would want to work for again unless they gave better pay. Some of the managers are rude and talk down to you.,3,Former Employee,Cashier/Store Associate ,"North Port, FL",7/26/21,2021,7,26
regular and reliable job,"the work is constant and the co workers are good, however the management has zero communication between each other and will find reasons to fire you if they don't like you.",3,Former Employee,Sporting Goods Sales Associate ,"Hohenwald, TN",7/26/21,2021,7,26
Good job for 18 year olds starting off work,Be a good job for college students and people starting off for a 1st time job. Pay is kinda low so it will be ok for someone that isn't the main income in the house. ,2,Former Employee,Truck Unloader/ Receiving Associate ,"Kemah, TX",7/26/21,2021,7,26
Good pay,Good pay good peopler really slow  days really cold really boring don’t let you leave early overall it’s a god company with good benefits just real slow and boring ,3,Former Employee,Order Selector ,"Shafter, CA",7/26/21,2021,7,26
Okay place to work,"The managers are always on your back about getting your work done. Working as a stocker you're expected to stock within a certain time frame. Overall, its an okay place to work. Be prepared to hear rumors and gossip; there's always something going on. And there's a lot of favoritism. They always want you to give 150% to the company , but the company only gives you 10%. ",3,Former Employee,Walmart Stocker ,"Dover, DE",7/26/21,2021,7,26
Boring ,Good job if you are in high school. Room to grow if you are good with the higher ups. Close to home so commute was not an issue but shift was 4:30 to 1 pm.,5,Former Employee,Associate ,"Lilburn, GA",7/26/21,2021,7,26
Chaotic and understaffed,Great pay means killing yourself to stay on top of workflow. Constant hour cuts. Bad morale. Salaried pharmacists are basically having to come early and stay late or come in on days off to ensure the work is done. I work for free everyday.,2,Current Employee,Pharmacy Manager ,Pennsylvania,7/26/21,2021,7,26
"pays good, hard work",the pay/ benefits are good but the production numbers they want you to hit monthly are very hard to reach. They literally expect you hit 100% of your numbers,4,Former Employee,Loader/Unloader ,"Elwood, IL",7/26/21,2021,7,26
Management ,"Management was just terrible, the orientation took way longer than it should have. Overall the store was ran like children were there. The pay is good and you can actually get some hours.",3,Former Employee,Front End Associate ,Barksdale Blvd,7/26/21,2021,7,26
Good until the end,"Wal-Mart never treated me wrong until the end of my employment with them. While I was out on maternity leave, it was decided that my position in the company was being eliminated. Instead of the store manager, picking up the phone and calling me to inform me of this...I was sent a letter in the mail. That store manager would also ask certain things of my position, then when I did it; if he didn't like it..instead of telling me he would just have somebody else go behind my back and tear it all down and redo it. I felt like I was walking on egg shells around him all the time.  Luckily I had a good co manager who had my back and could go to about anything. I think it all depends on the store and the management team, I really enjoyed my Wal-Mart career until the end. ",4,Former Employee,Training Coordinator ,"Lexington, KY",7/26/21,2021,7,26
It’s not Enjoyable at all. Not very welcoming. You don’t get the help you need when you start working there. Overall Bad experience. ,It’s not Fun at all. I have been miserable the whole time i’ve worked there. There has been a certain manager that has hated me and yelled at me constantly since the day I started and it’s only been a few months. My boss isn’t there half of the time. The people there are really bossy and negative. they constantly talk about customers and other workers there. there are some people that are really nice and enjoyable to be around but it’s not likely you will be by them or around them. It’s not a happy place and it’s not worth working there having to deal with your coworkers and managers taking things out on everyone more than you have to deal with the customers. ,2,Current Employee,Asset Protection Customer Host ,"Tulsa, OK",7/26/21,2021,7,26
Not a bad place to work,Good job to have and it’s fun. I like electronics a lot fast paced but not crazy unless it’s Black Friday. Don’t let your vehicle break down or you may be out of a job like I was,4,Former Employee,Electronics Sales Associate ,"Lewisburg, WV",7/26/21,2021,7,26
High School Job,Enjoyed my time there.  I do not recommend for high school students due to the long shifts and little flexibility.  Never a dull day during the Christmas season.  ,3,Former Employee,Cashier ,"Spartanburg, SC",7/26/21,2021,7,26
