title,review,rating,status,position,location,date_posted,year,month,day
fast pace wokplace,ring up customers_x000D_learned to be flexible_x000D_a lot  of young co-workers my age or younger_x000D_keep up fast pace to get customer out in a timely fashion_x000D_the hardest part was dealing with the scheduling of work hours,2,Former Employee,Cashier ,"Dallas, TX",11/22/13,2013,11,22
fun place to work.,didn't have to much time working here but the time I did I was treated with the most respect.,2,Former Employee,Inventory Control ,central islip ny,11/21/13,2013,11,21
productive and a fun place to work,I loved working there I loved interacting with associates and customers. Typical day at work would be Some merchandise dont have prices so its harder for the customer to find a price. I learned that you can do a help in hand with another associate who is far behind on something or help a customer who needs help beyond my department. The hardest part of the job was the holidays but working as a team I was able to do what my job duties were.,5,Former Employee,Apparel Sales Associate ,"El Paso, TX",11/21/13,2013,11,21
Not a good place to work,"Walmart, has changed after the loss of Mr. Sam. The employee became the lowest peg on the wall.",3,Former Employee,Greeter ,"Monroeville, AL",11/21/13,2013,11,21
A long term Investment,"I learned a lot while employed at Wal-Mart and if i could describe my time there I would say, that one get more from the company the longer you stay",3,Current Employee,Department Manager ,"Oklahoma City, OK",11/21/13,2013,11,21
Deli worker,I loved the work environment and the people I worked with. The company was great and they were very flexible with your ability to work,4,Former Employee,Deli Worker ,"Celina, OH",11/21/13,2013,11,21
boring job,"The atmosphere was not good , typical day is stocking, and changing tires",1,Former Employee,Air Conditioning Technician ,"Pittsburg, KS",11/21/13,2013,11,21
We believed in striving for excellence,Wal-Mart was an exciting place to work with growth and stability,5,Former Employee,Assistant Manager ,"Marion, IN",11/21/13,2013,11,21
Very Nice working with the local people,Stocking shelves and waiting on customers_x000D_Ordering stocking and inventory_x000D_To many _x000D_fun and helpfull_x000D_keeping the shelves filled_x000D_waiting on the public,4,Former Employee,Sales Associate ,"Jerseyville, IL",11/21/13,2013,11,21
Productive and busy place to work.,A typical day is to go to the back grab a cart then go to the fitting room to get returns.  Start at one end of the department straightening it up putting away returns.  Help with phone coverage.  It's a multi line 5 lines as well as a store radio while assisting customers into the fitting room & sorting out returns.  I help customers and put out freight.  _x000D_My co-workers and I get along for the most part and we work as a team to get things done.  We go to management if we need more help.  The hardest part of the job is when you have the 5 lines and the radio and assisting customers into the fitting room all at the same time.  Enough to drive any one crazy.  The most enjoyable part of the day is when you get to talk with the customers.  They help make the day go by faster.,3,Current Employee,Sales Associate ,"Port Saint Lucie, FL",11/21/13,2013,11,21
Working at Walmart,"On the regular days at work I am always taking care of customers and cooking and washing dishes was always a necessity. I learned that the more you keep yourself and area clean and talk to the customers more appropriately the more recognition and respect you earn.  Respect goes along way.  So the more respect the less bad days.  The hardest part about working at walmart was dealing with ignorant people- employee or customer. Its not fair being on the clock and you have to keep everything professional in order and ignorance comes along. The best part was being able to work and laugh and the same time, and making customers laugh as well",4,Former Employee,Deli Associate ,"Cairo, GA",11/21/13,2013,11,21
walmart,everything in Walmart was great the people there especially. but the wages that walmart gives you...is awful! NO body can live off of $8 an hour,3,Current Employee,Sales Floor Associate ,"Fremont, CA",11/21/13,2013,11,21
its an okay place to work,I worked there for almost a year. they over work you and they don't pay enough for all the work they have you do.,3,Former Employee,cashier/ customer service ,"Zebulon, NC",11/21/13,2013,11,21
Productive and nice place to work,Lynx services is a very nice place to work. only thing i did not like is the fact that I did not see myself becoming any higher in the company,5,Former Employee,Cashier / Customer Service Rep ,"North Fort Myers, FL",11/21/13,2013,11,21
