title,review,rating,status,position,location,date_posted,year,month,day
Work,I enjoyed my job always knew what I had to do before I even came in the door .very cold most days yes everyday the people were very nice but it is a busy job you have to fill your pallets and get them loadedmust be a fast worker at the same time must be a causious worker avoiding any incidents to a sure production goes on .All in all a good job,4,Former Employee,Loader/Unloader ,"Opelika, AL",1/19/17,2017,1,19
Depending on store,"Depending on the store you are hired in and if the manger is great like Jacksonville, NC was then you can move up and go long way in company. Other stores like one in Hamilton, NJ is just bad to the point you are limited to how far u move up in company.",3,Former Employee,Third Shft Associate/ Dept Mgr./ Supervisor TLE ,North Carolina,1/19/17,2017,1,19
Upper Management are failing,"We all know what this company fails at. Their grocery side is in need of better direction. Customer service is bad, pay is terrible and control in the stores is bad. They hire anybody, that's the problem. they don't train these people the way they should. The new employees are destine to fail through the lack of good training. they seem to think CBL's is their training, WRONG! What you see on You Tube what happens in their stores is totally unacceptable.",2,Former Employee,Assistant Manager ,"Lincoln, NE",1/19/17,2017,1,19
walmart,Great place to work. Good pay and if you need time off its usually easy to do. most of the management is good to help with what you need,5,Former Employee,Sales Associate/Cashier ,"Harlan, KY",1/19/17,2017,1,19
An ok work place,"Management is not fair in how they handle there employees, they have their favorites and are not ashamed to admit or show it. The job it self is not hard, can be overwhelming to start if you don't know where everything is located on the shelf. But once you are there for a while you just kind of get the hand of things. only real complaint is that the attendance policy is not enforced as it should be, some employees are late consistently with out any warnings or occurrences appearing on there account.",3,Former Employee,Overnight Fresh Associate ,"Warrensburg, MO",1/19/17,2017,1,19
Fun workplace,Walmart is a great company with a lot of good co workers _x000D_That willing to help me get the job done _x000D_And a great management team peaple at walmart easy fo talk with,5,Former Employee,Grocery Stocker ,"Whitehall, PA",1/19/17,2017,1,19
Good Company to work for,customer service is the most important_x000D_how to work with a big company and the expectation_x000D_working overnights the hardest due to the hours_x000D_working with customers and associate,5,Current Employee,Dept. Mgr. for Health and Beauty ,"Woodbridge, VA",1/19/17,2017,1,19
needs better management,Loved it when the store just opened but then it got really bad. Management was not all on the same page and made it very difficult for all other employees.,1,Former Employee,Customer Service Manager ,"Owatonna, MN",1/19/17,2017,1,19
Some pros and cons,"Advancement opportunities, great at developing skills, great place to learn a skill and grow your resume, or grow with the company._x000D_Cons_x000D_Understaffing issues negatively affects all parts of their business. However, Walmart has increased their minimum hourly rate with hopes to attract more committed employees, and retain better employees.",3,Former Employee,Cart Attendant ,"Albuquerque, NM",1/19/17,2017,1,19
Customer service is secondary.,On a typical day you are working shorthanded. Management is in a constant battle with each other to get things done. There is very little teamwork on a regular basis. Fulltime employees are not available.,3,Current Employee,Sales Associate ,"San Antonio, TX",1/19/17,2017,1,19
